bus_name_origen,nombre_geosadi,nemo,carrier,p_nom,costo_marginal_match,fuente_costo,CVP_manual,
BROWTG01,GUILLERMO BROWN,BROW,ocgt,287.624,SI,CVP_TERMICA,,
NPUETV06,NUEVO PUERTO,NPUE,steam,233.2,SI,CVP_TERMICA,,
GEBATV01,C.T. GENELBA,GEBA,ccgt,230.88,SI,CVP_TERMICA,,
TANDTG02,TERMOANDES,TAND,ocgt,203.914,SI,CVP_TERMICA,,
TANDTV01,TERMOANDES,TAND,ocgt,205,SI,CVP_TERMICA,,
TANDTG01,TERMOANDES,TAND,ocgt,203.914,SI,CVP_TERMICA,,
PBANHI01,P. BANDERITA,PBANHI,hydro,239.7,PENDIENTE,,,
PBANHI02,P. BANDERITA,PBANHI,hydro,239.7,PENDIENTE,,,
GEBATG01,C.T. GENELBA,GEBA,ccgt,222.07,SI,CVP_TERMICA,,
GEBATG02,C.T. GENELBA,GEBA,ccgt,222.07,SI,CVP_TERMICA,,
BSASTG01,BUENOS AIRES,BSAS,ccgt,186,SI,CVP_TERMICA,,
BRCHTV01,C.T BRACHO,BRCH,steam,199,SI,CVP_TERMICA,,
CHOCHI02,CHOCON,CHOCHI,hydro,215,PENDIENTE,,,
CHOCHI01,CHOCON,CHOCHI,hydro,215,PENDIENTE,,,
CHOCHI03,CHOCON,CHOCHI,hydro,215,PENDIENTE,,,
CHOCHI04,CHOCON,CHOCHI,hydro,215,PENDIENTE,,,
CHOCHI05,CHOCON,CHOCHI,hydro,215,PENDIENTE,,,
CHOCHI06,CHOCON,CHOCHI,hydro,215,PENDIENTE,,,
LDCUTG25,LUJAN DE CUYO,LDCU,ccgt,194.72,SI,CVP_TERMICA,,
PNUETV08,PUERTO NUEVO,PNUE,steam,117.9,SI,CVP_TERMICA,,
GEBATV02,C.T. GENELBA,GEBA,steam,193.63,SI,CVP_TERMICA,,
RGDEHB02,RIO GRANDE,RGDEHB,pumped_hydro,94,PENDIENTE,,,
RGDEHB01,RIO GRANDE,RGDEHB,pumped_hydro,94,PENDIENTE,,,
RGDEHB03,RIO GRANDE,RGDEHB,pumped_hydro,94,PENDIENTE,,,
RGDEHB04,RIO GRANDE,RGDEHB,pumped_hydro,94,PENDIENTE,,,
GEBATG04,C.T. GENELBA,GEBA,ocgt,185.9,SI,CVP_TERMICA,,
GEBATG03,C.T. GENELBA,GEBA,ocgt,181.5,SI,CVP_TERMICA,,
LDLATV01,CT NEUQUEN,LDLA,ccgt,172.26,SI,CVP_TERMICA,,
ACHIEO01,P.E. ACHIRAS (Renovar),ACHIEO,wind,94,NO,,P.E. Achiras,
RENOTG01,RENOVA ALBANESI,RENO,ccgt,172,SI,CVP_TERMICA,,
CEPUTV10,NUEVO PUERTO,NPUE,ccgt,231.7,NO,,CEPUCC11,
ARGETG01,CO. ARGENER,ARGE,ocgt,0,SI,CVP_TERMICA,CRIVTG21,
YACYHI01,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI07,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI09,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
