gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino
4640-2,4640,SFOETG12,,ocgt,19.5,19.5,0,,,sin_match,bfs,4312.0,S.TOME_132kV_1,2,SFOETG12 -> S.FE OES -> S.TOME 1
4656-12,4656,PARATG12,,ocgt,18.0,19.2,0,,,sin_match,bfs,4247.0,GRAN.PNA_132kV,5,PARATG12 -> PARANA.E -> PARANA.S -> PARANA.O -> SBENITO2 -> GRAN.PNA
4656-13,4656,PARATG12,,ocgt,18.0,19.2,0,,,sin_match,bfs,4247.0,GRAN.PNA_132kV,5,PARATG12 -> PARANA.E -> PARANA.S -> PARANA.O -> SBENITO2 -> GRAN.PNA
5600-1,5600,CAZUTV01,,biomass,2.5,3.3,1,,,sin_match,bfs,5322.0,S.ISIDRO_132kV_2,5,CAZUTV01 -> OBERA -> OBERA -> T.OBERA -> ROCA_B1 -> S.ISIDRO.B
5608-1,5608,OBEMDI01,,diesel,16.0,16.8,1,,,sin_match,bfs,5322.0,S.ISIDRO_132kV_2,5,OBEMDI01 -> OBERA -> OBERA -> T.OBERA -> ROCA_B1 -> S.ISIDRO.B
5612-2,5612,VAN2FV,,solar,7.2,9.0,1,,,sin_match,bfs,5237.0,CHACO_132kV,4,VAN2FV -> VANGFV33 -> VANGFV132 -> S.BERNARDO -> CHACO
5613-3,5613,VAN3FV,,solar,8.0,10.0,1,,,sin_match,bfs,5237.0,CHACO_132kV,4,VAN3FV -> VANGFV33 -> VANGFV132 -> S.BERNARDO -> CHACO
5614-4,5614,VAN4FV,,solar,8.8,11.0,1,,,sin_match,bfs,5237.0,CHACO_132kV,4,VAN4FV -> VANGFV33 -> VANGFV132 -> S.BERNARDO -> CHACO
5615-5,5615,VAN5FV,,solar,24.0,30.0,1,,,sin_match,bfs,5237.0,CHACO_132kV,4,VAN5FV -> VANGFV33 -> VANGFV132 -> S.BERNARDO -> CHACO
5620-1,5620,CLORTG,,ocgt,2.7,2.7,0,,,sin_match,bfs,5221.0,GRANFORMOSA_132kV_1,2,CLORTG -> CLORINDA -> GR.FORMOSA A
5620-2,5620,CLORTG,,ocgt,4.8,4.8,0,,,sin_match,bfs,5221.0,GRANFORMOSA_132kV_1,2,CLORTG -> CLORINDA -> GR.FORMOSA A
5621-1,5621,VALPFV01,,solar,15.0,25.0,1,,,sin_match,bfs,5237.0,CHACO_132kV,6,VALPFV01 -> PSVANG33 -> V.ANGELA -> V.ANGELA -> V.ANGE.NORT -> S.BERNARDO -> CHACO
5691-1,5691,URUGHI01,,hydro,40.0,59.5,1,,,sin_match,bfs,5322.0,S.ISIDRO_132kV_2,5,URUGHI01 -> URUGUAI -> ELDORADO -> PMINERAL_B1 -> ROCA_B2 -> S.ISIDRO.B
5692-2,5692,URUGHI02,,hydro,40.0,59.5,1,,,sin_match,bfs,5322.0,S.ISIDRO_132kV_2,5,URUGHI02 -> URUGUAI -> ELDORADO -> PMINERAL_B1 -> ROCA_B2 -> S.ISIDRO.B
6608-1,6608,NOG1FV01,,solar,8.0,10.0,0,,,sin_match,bfs,6286.0,LUJAN.SL_132kV_2,3,NOG1FV01 -> SAN LUIS -> SAN LUIS -> LUJAN.SL
6610-1,6610,SLV2FV01,,solar,35.0,100.0,1,,,sin_match,bfs,6286.0,LUJAN.SL_132kV_2,5,SLV2FV01 -> PS LS II -> PS LS II -> PS LS II -> CANDELARIA -> LUJAN.SL
6629-1,6629,CELEFV,,solar,17.6,22.0,1,,,sin_match,bfs,6286.0,LUJAN.SL_132kV_2,5,CELEFV -> CELEFV_6.6 -> CASA6.6_1 -> CEMENTERA.AV -> NOGOLI -> LUJAN.SL
6648-1,6648,LEV2EO01,,wind,46.5,93.0,1,,,sin_match,bfs,2245.0,HENDERS2_132kV,8,LEV2EO01 -> CTEQ33 -> LEV2EO01 -> PE LEVALLEII -> LABOULAY -> CHARLONE -> G.VILLEG -> PEHUAJO -> HENDERS2
6687-1,6687,VMRSFV,,solar,12.0,15.0,1,,,sin_match,bfs,6252.0,MALVINAS_132kV,12,VMRSFV -> PS.VMS2_02 -> PS.VMS23_02 -> PS.VMS23_01 -> PSF.V.M.S. -> S.ELENA -> S.J.DORMIDA -> V.TOTORAL -> TOTORAL NVA -> JE.MARIA -> JE.MARIA -> NORTE -> MALVINAS
6697-1,6697,MANYLOEO01,,wind,39.9,79.8,1,,,sin_match,bfs,6205.0,LUJAN.SL_132kV_1,9,MANYLOEO01 -> MANQ33 -> ACHI33_02 -> ACHIRAPE -> PIQ126_01 -> LIM.CBA-SLS -> V.MERCEDES -> V.MER.SU -> SLUIS.PIND -> LUJAN.SL2
7600-1,7600,ANCHDI14,,ocgt,9.73,10.0,0,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,ANCHDI14 -> ANCHORIZ -> CRUZPIED -> GRAN MZA
7600-2,7600,ANCHDI14,,ocgt,9.73,10.0,0,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,ANCHDI14 -> ANCHORIZ -> CRUZPIED -> GRAN MZA
7600-3,7600,ANCHDI14,,ocgt,9.73,10.0,0,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,ANCHDI14 -> ANCHORIZ -> CRUZPIED -> GRAN MZA
7600-4,7600,ANCHDI14,,ocgt,9.73,10.0,0,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,ANCHDI14 -> ANCHORIZ -> CRUZPIED -> GRAN MZA
