bus_id,bus_name,bus_name_psse,baskv_kv,ide,ide_desc,vm_pu,va_deg,parent_bus_id
2245,HENDERS2_132kV,HENDERS2,132.0,1,PQ,,,2006
2292,CAMPANA_132kV_1,NCAMP1,132.0,1,PQ,,,2002
2293,25MAYO_1_132kV,25MAY_01,132.0,1,PQ,,,2020
2294,CAMPANA_132kV_2,NCAMP2,132.0,1,PQ,,,2002
2296,OLAVARRI_132kV_1,OLAVARR1,132.0,1,PQ,,,2008
2298,OLAVARRI_132kV_2,OLAVARR2,132.0,1,PQ,,,2008
2327,RAMALLO_132kV,RAMALLO2,132.0,1,PQ,,,2090
2410,VIVORATA_132kV,VIVORATA,132.0,1,PQ,,,2050
2501,B.BLANCA_13.2kV_1,BBL.TER1,13.2,1,PQ,,,2000
2502,B.BLANCA_13.2kV_2,BBL.TER2,13.2,1,PQ,,,2000
2503,HENDERS2_13.2kV_1,HEN.TER1,13.2,4,isolated - unidad parada en snapshot,,,2006
2505,OLAVARRI_13.2kV_1,OLAV13_01,13.2,1,PQ,,,2008
2506,OLAVARRI_13.2kV_2,OLAV13_02,13.2,1,PQ,,,2008
2526,RAMALLO_33kV,RAM.TER3,33.0,4,isolated - unidad parada en snapshot,,,2090
2531,OLAVARRI_13.2kV_3,OLAV13_03,13.2,4,isolated - unidad parada en snapshot,,,2008
2543,HENDERS2_13.8kV,HEN.TER3,13.8,1,PQ,,,2006
2620,ATUCHA 2_21kV,ATU2NUCL,21.0,3,slack,,,2018
2625,GUIBROWN_20kV_1,BROWTG01,20.0,2,PV - generador activo,,,2001
2626,GUIBROWN_20kV_2,BROWTG02,20.0,2,PV - generador activo,,,2001
2627,GUIBROWN_20kV_3,BROWTV01,20.0,4,isolated - unidad parada en snapshot,,,2001
2629,PBUENA1_20kV,BBLATV29,20.0,4,isolated - unidad parada en snapshot,,,2014
2630,PBUENA2_20kV,BBLATV30,20.0,4,isolated - unidad parada en snapshot,,,2016
2692,AES PARA_15kV_1,AESPTG01,15.0,2,PV - generador activo,,,2092
2693,AES PARA_15kV_2,AESPTG02,15.0,2,PV - generador activo,,,2092
2694,AES PARA_20kV,AESPTV01,20.0,2,PV - generador activo,,,2092
2695,BELGRANO1_20kV_1,GBELTG01,20.0,2,PV - generador activo,,,2003
2696,BELGRANO1_20kV_2,GBELTG02,20.0,2,PV - generador activo,,,2003
2697,BELGRANO1_20kV_3,GBELTV01,20.0,2,PV - generador activo,,,2003
2803,HENDERS2_13.2kV_2,HEN.TER2,13.2,4,isolated - unidad parada en snapshot,,,2006
2804,CAMPANA_13.2kV_1,NCAM.TER,13.2,1,PQ,,,2002
2823,CAMPANA_13.2kV_2,NCAM.TE2,13.2,1,PQ,,,2002
2827,RAMALLO_13.2kV_1,RAM.TER9,13.2,4,isolated - unidad parada en snapshot,,,2090
2828,HENDERS2_13.2kV_3,HEN.TER7,13.2,1,PQ,,,2006
2829,25MAYO_1_33kV_1,25M.TER1,33.0,1,PQ,,,2020
2830,25MAYO_1_33kV_2,25M.TER2,33.0,1,PQ,,,2020
2833,RAMALLO_13.2kV_2,RAM.TER4,13.2,1,PQ,,,2090
2861,VIVORATA_33kV_1,VIV.TER1,33.0,1,PQ,,,2050
2862,VIVORATA_33kV_2,VIV.TER2,33.0,1,PQ,,,2050
3100,ABASTO_220kV,ABASTO,220.0,1,PQ,,,3002
3110,EZEIZA_220kV_1,EZEIZA 2,220.0,1,PQ,,,3000
3112,EZEIZA_220kV_2,EZEIZA 3,220.0,1,PQ,,,3000
3120,RODRGUEZ_220kV_1,RODRIGU1,220.0,1,PQ,,,3004
3122,RODRGUEZ_220kV_2,RODRIGU2,220.0,1,PQ,,,3004
3201,EZEIZA_132kV_1,EZEIZA 1,132.0,1,PQ,,,3000
3203,EZEIZA_132kV_2,EZEIZA 2,132.0,4,isolated - unidad parada en snapshot,,,3000
3204,ABASTO_132kV_1,ABA.TER1,132.0,1,PQ,,,3002
3205,EZEIZA_132kV_3,EZEIZA 3,132.0,1,PQ,,,3000
3206,ABASTO_132kV_2,ABA.TER2,132.0,1,PQ,,,3002
3207,EZEIZA_132kV_4,EZE.TER10,132.0,1,PQ,,,3000
3318,RODRGUEZ_132kV_1,SVS.ROD1,132.0,1,PQ,,,3004
3320,RODRGUEZ_132kV_2,SVS.ROD2,132.0,1,PQ,,,3004
3322,RODRGUEZ_132kV_3,ROD.TER3,132.0,1,PQ,,,3004
3335,RODRGUEZ_132kV_4,ROD.TER8,132.0,1,PQ,,,3004
3365,RODRGUEZ_132kV_5,RODRIG01,132.0,1,PQ,,,3004
3563,RODRGUEZ_13.2kV,ROD.TER7,13.2,4,isolated - unidad parada en snapshot,,,3004
3641,EZE.GENETG01_15.8kV,GEBATG01,15.75,2,PV - generador activo,,,3005
3642,EZE GENETG02_15.8kV,GEBATG02,15.75,2,PV - generador activo,,,3006
3643,EZE GENETV03_15.8kV_1,GEBATV01,15.75,2,PV - generador activo,,,3007
3647,EZE GENETV03_15.8kV_2,GEBATG03,15.75,2,PV - generador activo,,,3007
3690,EZE GENETV03_15.8kV,GEBATG04,15.8,2,PV - generador activo,,,3007
3702,EZEIZA_132kV_5,EZE.TER7,132.0,1,PQ,,,3000
3899,EZEIZA_132kV_6,EZE.TER9,132.0,1,PQ,,,3000
4110,R.OESTE_220kV,ROS.OES2,220.0,1,PQ,,,4000
4222,C.ELIA_132kV,C.ELIA,132.0,1,PQ,,,4004
4247,GRAN.PNA_132kV,GRAN.PNA,132.0,1,PQ,,,4009
4274,ROMANG_132kV,ROMANG,132.0,1,PQ,,,4006
