gen_key,bus_name_origen,geosadi_name,nemo,bus_conexion500kv,bus_conexion500kv_name,carrier,p_nom,lat,lon,marginal_cost
3678-8,PNUETV08,PUERTO NUEVO,PNUE,3122.0,RODRGUEZ_220kV_2,steam,117.9,-34.57570224,-58.37604732,67.6
3658-1,GEBATV02,C.T. GENELBA,GEBA,3110.0,EZEIZA_220kV_1,steam,193.63,-34.90221112,-58.73347259,32.9
6672-2,RGDEHB02,RIO GRANDE,RGDEHB,6672.0,R.GRANDE_16.5kV_2,pumped_hydro,94.0,-32.22339976,-64.63877892,
6671-1,RGDEHB01,RIO GRANDE,RGDEHB,6671.0,R.GRANDE_16.5kV_1,pumped_hydro,94.0,-32.22339976,-64.63877892,
6673-3,RGDEHB03,RIO GRANDE,RGDEHB,6673.0,R.GRANDE_16.5kV_3,pumped_hydro,94.0,-32.22339976,-64.63877892,
6674-4,RGDEHB04,RIO GRANDE,RGDEHB,6674.0,R.GRANDE_16.5kV_4,pumped_hydro,94.0,-32.22339976,-64.63877892,
3690-1,GEBATG04,C.T. GENELBA,GEBA,3690.0,EZE GENETV03_15.8kV,ocgt,185.9,-34.90221112,-58.73347259,32.0
3647-4,GEBATG03,C.T. GENELBA,GEBA,3647.0,EZE GENETV03_15.8kV_2,ocgt,181.5,-34.90221112,-58.73347259,34.5
1674-1,LDLATV01,CT NEUQUEN,LDLA,1674.0,L.LATA_15.8kV,ccgt,172.26,-38.51265798,-68.60617036,31.4
2910-1,TEROEO01,P.E. LOS TEROS,TEROEO,2298.0,OLAVARRI_132kV_2,wind,122.6,-37.12948197,-59.75992338,
4619-1,RENOTG01,RENOVA ALBANESI,RENO,4390.0,R.COROND_132kV,ccgt,172.0,-32.58716291,-60.7924301,34.8
6657-1,PILATV10,PILAR,PILA,6252.0,MALVINAS_132kV,steam,157.4816,-31.66775671,-63.83403136,39.7
2606-1,ARGETG01,CO. ARGENER,ARGE,3120.0,RODRGUEZ_220kV_1,ocgt,0.0,-33.36535851,-60.14357217,61.7
5671-1,YACYHI01,YACYRETA,YACYHI,5671.0,YACYRETA_13.2kV_1,hydro,132.525,-27.48275734,-56.73927801,
5677-7,YACYHI07,YACYRETA,YACYHI,5677.0,YACYRETA_13.2kV_7,hydro,132.525,-27.48275734,-56.73927801,
5679-9,YACYHI09,YACYRETA,YACYHI,5679.0,YACYRETA_13.2kV_9,hydro,132.525,-27.48275734,-56.73927801,
5678-8,YACYHI08,YACYRETA,YACYHI,5678.0,YACYRETA_13.2kV_8,hydro,132.525,-27.48275734,-56.73927801,
5675-5,YACYHI05,YACYRETA,YACYHI,5675.0,YACYRETA_13.2kV_5,hydro,132.525,-27.48275734,-56.73927801,
5676-6,YACYHI06,YACYRETA,YACYHI,5676.0,YACYRETA_13.2kV_6,hydro,132.525,-27.48275734,-56.73927801,
5681-1,YACYHI11,YACYRETA,YACYHI,5681.0,YACYRETA_13.2kV_11,hydro,132.525,-27.48275734,-56.73927801,
5674-4,YACYHI04,YACYRETA,YACYHI,5674.0,YACYRETA_13.2kV_4,hydro,132.525,-27.48275734,-56.73927801,
5673-3,YACYHI03,YACYRETA,YACYHI,5673.0,YACYRETA_13.2kV_3,hydro,132.525,-27.48275734,-56.73927801,
5680-1,YACYHI10,YACYRETA,YACYHI,5680.0,YACYRETA_13.2kV_10,hydro,132.525,-27.48275734,-56.73927801,
5684-4,YACYHI14,YACYRETA,YACYHI,5684.0,YACYRETA_13.2kV_14,hydro,132.525,-27.48275734,-56.73927801,
5682-2,YACYHI12,YACYRETA,YACYHI,5682.0,YACYRETA_13.2kV_12,hydro,132.525,-27.48275734,-56.73927801,
5683-3,YACYHI13,YACYRETA,YACYHI,5683.0,YACYRETA_13.2kV_13,hydro,132.525,-27.48275734,-56.73927801,
5690-1,YACYHI20,YACYRETA,YACYHI,5690.0,YACYRETA_13.2kV_20,hydro,132.525,-27.48275734,-56.73927801,
5689-9,YACYHI19,YACYRETA,YACYHI,5689.0,YACYRETA_13.2kV_19,hydro,132.525,-27.48275734,-56.73927801,
5685-5,YACYHI15,YACYRETA,YACYHI,5685.0,YACYRETA_13.2kV_15,hydro,132.525,-27.48275734,-56.73927801,
5688-8,YACYHI18,YACYRETA,YACYHI,5688.0,YACYRETA_13.2kV_18,hydro,132.525,-27.48275734,-56.73927801,
5686-6,YACYHI16,YACYRETA,YACYHI,5686.0,YACYRETA_13.2kV_16,hydro,132.525,-27.48275734,-56.73927801,
5672-2,YACYHI02,YACYRETA,YACYHI,5672.0,YACYRETA_13.2kV_2,hydro,132.525,-27.48275734,-56.73927801,
5687-7,YACYHI17,YACYRETA,YACYHI,5687.0,YACYRETA_13.2kV_17,hydro,132.525,-27.48275734,-56.73927801,
8613-3,TUCUTV01,C.T. TUCUMAN,TUCU,8214.0,BRACHO_132kV_1,ccgt,140.128,-26.99733869,-65.16808023,40.7
4650-1,SORRTV13,SORRENTO,SORR,4284.0,R.OESTE_132kV_2,steam,84.78,-32.90512698,-60.68026732,56.7
6656-1,PILATG12,PILAR,PILA,6200.0,ALMAFUE._132kV_1,ocgt,162.7209,-31.66775671,-63.83403136,39.7
6655-1,PILATG11,PILAR,PILA,6252.0,MALVINAS_132kV,ocgt,163.9949,-31.66775671,-63.83403136,39.7
8615-3,SMTUTV01,S.M. DE TUCUMAN,SMTU,8615.0,BRACHO_15.7kV_2,ccgt,136.9,-26.9934191,-65.16842295,41.6
680-1,PMA2EO01,P. MADRYN II ENARSA,PMA2EO,221.0,NPMADRYN_132kV,wind,155.0,-42.70412076,-65.28423885,91.8
3677-7,PNUETV07,PUERTO NUEVO,PNUE,3100.0,ABASTO_220kV,steam,114.7145,-34.57570224,-58.37604732,56.6
8612-2,TUCUTG02,C.T. TUCUMAN,TUCU,8214.0,BRACHO_132kV_1,ccgt,143.21,-26.99733869,-65.16808023,40.7
8611-1,TUCUTG01,C.T. TUCUMAN,TUCU,8214.0,BRACHO_132kV_1,ccgt,143.21,-26.99733869,-65.16808023,40.7
4699-1,BLOPTV01,BRIGAD. LOPEZ,BLOP,4312.0,S.TOME_132kV_1,ccgt,92.0757,-31.71020189,-60.78028146,35.8
2658-1,PEP6EO,P.E. PAMPA ENERGÍA VI (MATER),PEP6,2005.0,T PEPE,wind,138.0,-38.66417721,-61.95892303,
4601-1,SGDEHI01,S. GRANDE ARG,SGDEHIAR,4601.0,SGAC1500_13.8kV_1,hydro,64.3571,-31.27378206,-57.94126545,
4603-3,SGDEHI03,S. GRANDE ARG,SGDEHIAR,4603.0,SGAC2500_13.8kV_1,hydro,64.3571,-31.27378206,-57.94126545,
4604-4,SGDEHI04,S. GRANDE ARG,SGDEHIAR,4604.0,SGAC2500_13.8kV_2,hydro,64.3571,-31.27378206,-57.94126545,
4605-5,SGDEHI05,S. GRANDE ARG,SGDEHIAR,4605.0,SGAC3500_13.8kV_1,hydro,64.3571,-31.27378206,-57.94126545,
4606-6,SGDEHI06,S. GRANDE ARG,SGDEHIAR,4606.0,SGAC3500_13.8kV_2,hydro,64.3571,-31.27378206,-57.94126545,
4613-7,SGDEHI13,S. GRANDE ARG,SGDEHIAR,4613.0,SGAC4500_13.8kV_1,hydro,64.3571,-31.27378206,-57.94126545,
8653-3,GUEMTV13,GUEMES,GUEM,8300.0,JUANCITO_132kV,steam,126.495,-24.68926954,-65.04172111,54.4
4602-2,SGDEHI02,S. GRANDE ARG,SGDEHIAR,4602.0,SGAC1500_13.8kV_2,hydro,64.3571,-31.27378206,-57.94126545,
1600-6,ACAJTG06,AGUA DEL CAJON,CAPE,1200.0,A.CAJON_132kV_1,ccgt,129.5526,-38.93631045,-68.35730715,29.7
102-1,FUTAHI01,FUTALEUFU,FUTAHI,224.0,NPMADRYN_330kV,hydro,132.5,-43.1291857,-71.62994869,
104-1,FUTAHI02,FUTALEUFU,FUTAHI,224.0,NPMADRYN_330kV,hydro,132.5,-43.1291857,-71.62994869,
106-1,FUTAHI03,FUTALEUFU,FUTAHI,224.0,NPMADRYN_330kV,hydro,132.5,-43.1291857,-71.62994869,
108-1,FUTAHI04,FUTALEUFU,FUTAHI,224.0,NPMADRYN_330kV,hydro,132.5,-43.1291857,-71.62994869,
3620-1,ENSETG01,CO. ENSENADA,ENSE,3100.0,ABASTO_220kV,ocgt,62.6066,-34.89178136,-57.92335836,
5609-1,PINFFV01,P.S. PAMPA DEL INFIERNO,PINFFV,5237.0,CHACO_132kV,solar,132.0,-26.49330827,-61.20080628,55.3
1673-3,LDLATG03,CT NEUQUEN,LDLA,1673.0,L.LATA_11.5kV_3,ocgt,120.783,-38.51265798,-68.60617036,31.4
1672-2,LDLATG02,CT NEUQUEN,LDLA,1672.0,L.LATA_11.5kV_2,ocgt,121.4543,-38.51265798,-68.60617036,31.4
1671-1,LDLATG01,CT NEUQUEN,LDLA,1671.0,L.LATA_11.5kV_1,ocgt,118.3674,-38.51265798,-68.60617036,31.4
1630-1,ROCATG01,TERMOROCA,ROCA,1268.0,P.BAND._132kV,ocgt,128.7,-38.94593521,-67.60085988,26.9
3601-1,COSTTV01,COSTANERA,COST,3110.0,EZEIZA_220kV_1,steam,84.12,-34.62485385,-58.33970617,61.8
604-1,LEONEO01,PE CAÑADON LEON,LEON,461.0,SCN_500_132kV,wind,103.0,-46.58811447,-67.64421076,
523-1,RTURTV01,RIO TURBIO,RTUR,117.0,ESPERANZ_220kV,steam,0.0,-51.54611976,-72.23114286,111.6
525-2,RTURTV02,RIO TURBIO,RTUR,117.0,ESPERANZ_220kV,steam,0.0,-51.54611976,-72.23114286,111.6
8614-2,SMTUTG02,S.M. DE TUCUMAN,SMTU,8614.0,BRACHO_15.7kV_1,ccgt,115.5,-26.9934191,-65.16842295,41.6
8640-3,CAU3FV01,P.S. CAUCHARI 3,CAU3FV,8120.0,COBOS_345kV,solar,105.0,-24.08620823,-66.71964002,71.0
8638-1,CAU1FV01,P.S. CAUCHARI 1,CAU1FV,8120.0,COBOS_345kV,solar,105.0,-24.10569637,-66.70784346,71.0
8639-2,CAU2FV01,P.S. CAUCHARI 2,CAU2FV,8120.0,COBOS_345kV,solar,105.0,-24.09710935,-66.71327361,71.0
2648-1,LCASEO01,P.E. LA CASTELLANA,LCASEO,2206.0,B.BLANCA_132kV_1,wind,100.8,-38.62858648,-62.70867806,75.4417
3602-2,COSTTV02,COSTANERA,COST,3110.0,EZEIZA_220kV_1,steam,84.7,-34.62485385,-58.33970617,63.5
8600-1,SMTUTG01,S.M. DE TUCUMAN,SMTU,8614.0,BRACHO_15.7kV_1,ccgt,108.36,-26.9934191,-65.16842295,41.6
7632-2,LREYHB02,LOS REYUNOS,LREYHB,7104.0,GRAN MZA_220kV,hydro,111.5,-34.60296358,-68.63840013,
7631-1,LREYHB01,LOS REYUNOS,LREYHB,7104.0,GRAN MZA_220kV,hydro,111.5,-34.60296358,-68.63840013,
1658-1,POM1EO01,P.E. POMONA I,POM1EO,1226.0,CH.CHOEL_132kV,wind,104.0,-39.55933427,-65.72693939,66.25
6627-1,SLUNEO01,P.E. SAN LUIS NORTE,SLUNEO,6205.0,LUJAN.SL_132kV_1,wind,107.2593,-32.77535456,-66.34614068,57.0
3603-3,COSTTV03,COSTANERA,COST,3110.0,EZEIZA_220kV_1,steam,81.184,-34.62485385,-58.33970617,64.6
8603-2,PPNOTG02,PLUSPETROL NORT,PPNO,8525.0,BRACHO_34.5kV_3,ocgt,115.557,-26.99548533,-65.16142254,56.0
8602-1,PPNOTG01,PLUSPETROL NORT,PPNO,8525.0,BRACHO_34.5kV_3,ocgt,112.8,-26.99548533,-65.16142254,56.0
8654-1,GUEMTG01,GUEMES,GUEM,8300.0,JUANCITO_132kV,ocgt,98.5,-24.68926954,-65.04172111,47.2
3665-5,NPUETV05,NUEVO PUERTO,NPUE,3122.0,RODRGUEZ_220kV_2,steam,103.6,-34.57170662,-58.38211451,59.2
1677-5,LDLATG05,CT NEUQUEN,LDLA,1677.0,L.LATA_11.5kV_5,ocgt,105.0,-38.51265798,-68.60617036,34.8
8645-1,AR21EO01,P.E. ARAUCO II (ETAPA 1 Y 2),AR21EO,8271.0,RIOJASUR_132kV,wind,113.0,-28.71325137,-66.70538536,80.1833
3605-5,BSASTV01,BUENOS AIRES,BSAS,3100.0,ABASTO_220kV,ccgt,82.958,-34.62636803,-58.33730209,39.9
1655-2,LCA2TG01,Loma Campana 2,LCA2,1268.0,P.BAND._132kV,ocgt,98.9733,-38.35980125,-68.71483939,38.0
1676-1,LCAMTG01,LOMA CAMPANA,LCAM,1268.0,P.BAND._132kV,ocgt,92.4763,-38.35956045,-68.71482424,31.1
8626-1,LPUNFV,P.S. La Puna,LPUNFV,8120.0,COBOS_345kV,solar,104.0,-24.14414793,-66.90156252,68.575
8627-1,ALT1FV,P.S. ALTIPLANO I,ALT1FV,8120.0,COBOS_345kV,solar,100.0,-24.15130602,-66.90133094,47.4
2913-1,BVENEO01,P.E. DE LA BUENA VENTURA,BVENEO,2298.0,OLAVARRI_132kV_2,wind,103.2,-38.10535213,-60.13014793,50.5
2914-1,SJMTEO01,P.E. SAN JORGE y EL MATACO,SJMTEO,2208.0,B.BLANCA_132kV_2,wind,102.9,-38.33714465,-62.28061403,47.8
654-1,BICEEO01,P.E. BICENTENARIO,BICEEO,461.0,SCN_500_132kV,wind,102.0,-47.2984011,-66.99790249,54.3
2915-1,SJMTEO01,P.E. SAN JORGE y EL MATACO,SJMTEO,2208.0,B.BLANCA_132kV_2,wind,102.9,-38.33714465,-62.28061403,47.8
1629-1,NEU1EO01,P.E. VIENTOS NEUQUINOS I,NEU1EO,1240.0,CHOCON_132kV,wind,100.0,-39.74540749,-69.76743327,60.5
2660-1,CORTEO01,P.E. MARIO CEBREIRO,CORTEO,2208.0,B.BLANCA_132kV_2,wind,100.5,-38.67488786,-62.02596591,
1675-4,LDLATG04,CT NEUQUEN,LDLA,1675.0,L.LATA_11.5kV_4,ocgt,101.2512,-38.51265798,-68.60617036,35.3
7902-1,GZ2AFV01,P.S. GUAÑIZUL II A,GZ2A,7203.0,NVA.SJUAN_132kV,solar,108.0,-30.36764071,-69.290726,
