gen_key,bus_name_origen,nombre_geosadi,nemo,bus_conexion500kv,bus_conexion500kv_name,carrier,p_nom,lat,lon,n_saltos,camino
3679-9,PNUETV09,PUERTO NUEVO,PNUE,3122.0,RODRGUEZ_220kV_2,steam,99.7029,-34.57570224,-58.37604732,-1,
2625-1,BROWTG01,GUILLERMO BROWN,BROW,2625.0,GUIBROWN_20kV_1,ocgt,130.8727,-38.68547162,-62.41424292,0,
3666-6,NPUETV06,NUEVO PUERTO,NPUE,3122.0,RODRGUEZ_220kV_2,steam,49.0969,-34.57170662,-58.38211451,-1,
3643-3,GEBATV01,C.T. GENELBA,GEBA,3643.0,EZE GENETV03_15.8kV_1,ccgt,44.1482,-34.90221112,-58.73347259,0,
8623-2,TANDTG02,TERMOANDES,TAND,8120.0,COBOS_345kV,ocgt,67.9713,-24.74379602,-65.0519014,1,TANDTG02 -> COBOS
8624-1,TANDTV01,TERMOANDES,TAND,8120.0,COBOS_345kV,ocgt,67.9713,-24.74379602,-65.0519014,1,TANDTV01 -> COBOS
8622-1,TANDTG01,TERMOANDES,TAND,8120.0,COBOS_345kV,ocgt,67.9713,-24.74379602,-65.0519014,1,TANDTG01 -> COBOS
1691-1,PBANHI01,P. BANDERITA,PBANHI,1691.0,P.BAND._16kV_1,hydro,239.7,-38.55960664,-68.47444599,0,
1692-2,PBANHI02,P. BANDERITA,PBANHI,1692.0,P.BAND._16kV_2,hydro,239.7,-38.55960664,-68.47444599,0,
3641-1,GEBATG01,C.T. GENELBA,GEBA,3641.0,EZE.GENETG01_15.8kV,ccgt,40.9119,-34.90221112,-58.73347259,0,
3642-2,GEBATG02,C.T. GENELBA,GEBA,3642.0,EZE GENETG02_15.8kV,ccgt,40.9119,-34.90221112,-58.73347259,0,
3608-8,BSASTG01,BUENOS AIRES,BSAS,3100.0,ABASTO_220kV,ccgt,125.5356,-34.62636803,-58.33730209,4,BSASTG01 -> COSTANER2 -> HUDSON -> BOSQUES -> ABASTO
8900-1,BRCHTV01,C.T BRACHO,BRCH,8900.0,BRACHO_18kV,steam,118.4131,-26.99696942,-65.17048057,0,
1662-2,CHOCHI02,CHOCON,CHOCHI,1662.0,C.H.CHOC_16kV_2,hydro,215.0,-39.2658473,-68.7560383,0,
1661-1,CHOCHI01,CHOCON,CHOCHI,1661.0,C.H.CHOC_16kV_1,hydro,215.0,-39.2658473,-68.7560383,0,
1663-3,CHOCHI03,CHOCON,CHOCHI,1663.0,C.H.CHOC_16kV_3,hydro,215.0,-39.2658473,-68.7560383,0,
1664-4,CHOCHI04,CHOCON,CHOCHI,1664.0,C.H.CHOC_16kV_4,hydro,215.0,-39.2658473,-68.7560383,0,
1665-5,CHOCHI05,CHOCON,CHOCHI,1665.0,C.H.CHOC_16kV_5,hydro,215.0,-39.2658473,-68.7560383,0,
1666-6,CHOCHI06,CHOCON,CHOCHI,1666.0,C.H.CHOC_16kV_6,hydro,215.0,-39.2658473,-68.7560383,0,
7645-G,LDCUTG25,LUJAN DE CUYO,LDCU,7216.0,GRAN MZA_132kV,ccgt,64.2977,-33.05568314,-68.98082788,3,LDCUTG25 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA
3678-8,PNUETV08,PUERTO NUEVO,PNUE,3122.0,RODRGUEZ_220kV_2,steam,77.3694,-34.57570224,-58.37604732,-1,
3658-1,GEBATV02,C.T. GENELBA,GEBA,3110.0,EZEIZA_220kV_1,steam,36.2539,-34.90221112,-58.73347259,3,GEBATV02 -> GEBATV132 -> EZE2132 -> EZEIZA 2
6672-2,RGDEHB02,RIO GRANDE,RGDEHB,6672.0,R.GRANDE_16.5kV_2,pumped_hydro,94.0,-32.22339976,-64.63877892,0,
6671-1,RGDEHB01,RIO GRANDE,RGDEHB,6671.0,R.GRANDE_16.5kV_1,pumped_hydro,94.0,-32.22339976,-64.63877892,0,
6673-3,RGDEHB03,RIO GRANDE,RGDEHB,6673.0,R.GRANDE_16.5kV_3,pumped_hydro,94.0,-32.22339976,-64.63877892,0,
6674-4,RGDEHB04,RIO GRANDE,RGDEHB,6674.0,R.GRANDE_16.5kV_4,pumped_hydro,94.0,-32.22339976,-64.63877892,0,
3690-1,GEBATG04,C.T. GENELBA,GEBA,3690.0,EZE GENETV03_15.8kV,ocgt,34.9818,-34.90221112,-58.73347259,0,
3647-4,GEBATG03,C.T. GENELBA,GEBA,3647.0,EZE GENETV03_15.8kV_2,ocgt,33.6723,-34.90221112,-58.73347259,0,
1674-1,LDLATV01,CT NEUQUEN,LDLA,1674.0,L.LATA_15.8kV,ccgt,39.7799,-38.51265798,-68.60617036,0,
2910-1,TEROEO01,P.E. LOS TEROS,TEROEO,2298.0,OLAVARRI_132kV_2,wind,122.6,-37.12948197,-59.75992338,3,TEROEO01 -> LTERO33_01 -> LOSTEROS -> OLAVARR2
4619-1,RENOTG01,RENOVA ALBANESI,RENO,4390.0,R.COROND_132kV,ccgt,172.0,-32.58716291,-60.7924301,2,RENOTG01 -> GEN.RENOVA -> R.COROND
6657-1,PILATV10,PILAR,PILA,6252.0,MALVINAS_132kV,steam,56.4488,-31.66775671,-63.83403136,3,PILATV10 -> PILARII2 -> MONTECRISTO -> MALVINAS
2606-1,ARGETG01,CO. ARGENER,ARGE,3120.0,RODRGUEZ_220kV_1,ocgt,0.0,-33.36535851,-60.14357217,4,ARGETG01 -> ARGENER -> RAMALLOB -> V. LIA -> RODRIGU1
5671-1,YACYHI01,YACYRETA,YACYHI,5671.0,YACYRETA_13.2kV_1,hydro,132.525,-27.48275734,-56.73927801,0,
5677-7,YACYHI07,YACYRETA,YACYHI,5677.0,YACYRETA_13.2kV_7,hydro,132.525,-27.48275734,-56.73927801,0,
5679-9,YACYHI09,YACYRETA,YACYHI,5679.0,YACYRETA_13.2kV_9,hydro,132.525,-27.48275734,-56.73927801,0,
5678-8,YACYHI08,YACYRETA,YACYHI,5678.0,YACYRETA_13.2kV_8,hydro,132.525,-27.48275734,-56.73927801,0,
5675-5,YACYHI05,YACYRETA,YACYHI,5675.0,YACYRETA_13.2kV_5,hydro,132.525,-27.48275734,-56.73927801,0,
5676-6,YACYHI06,YACYRETA,YACYHI,5676.0,YACYRETA_13.2kV_6,hydro,132.525,-27.48275734,-56.73927801,0,
5681-1,YACYHI11,YACYRETA,YACYHI,5681.0,YACYRETA_13.2kV_11,hydro,132.525,-27.48275734,-56.73927801,0,
5674-4,YACYHI04,YACYRETA,YACYHI,5674.0,YACYRETA_13.2kV_4,hydro,132.525,-27.48275734,-56.73927801,0,
5673-3,YACYHI03,YACYRETA,YACYHI,5673.0,YACYRETA_13.2kV_3,hydro,132.525,-27.48275734,-56.73927801,0,
5680-1,YACYHI10,YACYRETA,YACYHI,5680.0,YACYRETA_13.2kV_10,hydro,132.525,-27.48275734,-56.73927801,0,
5684-4,YACYHI14,YACYRETA,YACYHI,5684.0,YACYRETA_13.2kV_14,hydro,132.525,-27.48275734,-56.73927801,0,
5682-2,YACYHI12,YACYRETA,YACYHI,5682.0,YACYRETA_13.2kV_12,hydro,132.525,-27.48275734,-56.73927801,0,
5683-3,YACYHI13,YACYRETA,YACYHI,5683.0,YACYRETA_13.2kV_13,hydro,132.525,-27.48275734,-56.73927801,0,
5690-1,YACYHI20,YACYRETA,YACYHI,5690.0,YACYRETA_13.2kV_20,hydro,132.525,-27.48275734,-56.73927801,0,
5689-9,YACYHI19,YACYRETA,YACYHI,5689.0,YACYRETA_13.2kV_19,hydro,132.525,-27.48275734,-56.73927801,0,
5685-5,YACYHI15,YACYRETA,YACYHI,5685.0,YACYRETA_13.2kV_15,hydro,132.525,-27.48275734,-56.73927801,0,
5688-8,YACYHI18,YACYRETA,YACYHI,5688.0,YACYRETA_13.2kV_18,hydro,132.525,-27.48275734,-56.73927801,0,
5686-6,YACYHI16,YACYRETA,YACYHI,5686.0,YACYRETA_13.2kV_16,hydro,132.525,-27.48275734,-56.73927801,0,
5672-2,YACYHI02,YACYRETA,YACYHI,5672.0,YACYRETA_13.2kV_2,hydro,132.525,-27.48275734,-56.73927801,0,
5687-7,YACYHI17,YACYRETA,YACYHI,5687.0,YACYRETA_13.2kV_17,hydro,132.525,-27.48275734,-56.73927801,0,
8613-3,TUCUTV01,C.T. TUCUMAN,TUCU,8214.0,BRACHO_132kV_1,ccgt,50.8123,-26.99733869,-65.16808023,-1,
4650-1,SORRTV13,SORRENTO,SORR,4284.0,R.OESTE_132kV_2,steam,72.41,-32.90512698,-60.68026732,4,SORRTV13 -> SORRENTO -> PZASORR3 -> P.UNIDAS -> ROS.OES3
6656-1,PILATG12,PILAR,PILA,6200.0,ALMAFUE._132kV_1,ocgt,51.3416,-31.66775671,-63.83403136,3,PILATG12 -> PILARII1 -> PILAR A -> ALMAFUE1
6655-1,PILATG11,PILAR,PILA,6252.0,MALVINAS_132kV,ocgt,51.3416,-31.66775671,-63.83403136,3,PILATG11 -> PILARII2 -> MONTECRISTO -> MALVINAS
8615-3,SMTUTV01,S.M. DE TUCUMAN,SMTU,8615.0,BRACHO_15.7kV_2,ccgt,53.8012,-26.9934191,-65.16842295,0,
680-1,PMA2EO01,P. MADRYN II ENARSA,PMA2EO,221.0,NPMADRYN_132kV,wind,155.0,-42.70412076,-65.28423885,4,PMA2EO01 -> PEM33_03 -> PEM33_01 -> PE_PMADR -> PMADRYN2
3677-7,PNUETV07,PUERTO NUEVO,PNUE,3100.0,ABASTO_220kV,steam,57.8277,-34.57570224,-58.37604732,8,PNUETV07 -> P.N.CELE -> EMP.PNUEVO -> AZOPA.CE -> AZOPARDO -> COSTANER2 -> HUDSON -> BOSQUES -> ABASTO
8612-2,TUCUTG02,C.T. TUCUMAN,TUCU,8214.0,BRACHO_132kV_1,ccgt,46.1988,-26.99733869,-65.16808023,-1,
8611-1,TUCUTG01,C.T. TUCUMAN,TUCU,8214.0,BRACHO_132kV_1,ccgt,46.1988,-26.99733869,-65.16808023,-1,
4699-1,BLOPTV01,BRIGAD. LOPEZ,BLOP,4312.0,S.TOME_132kV_1,ccgt,92.0757,-31.71020189,-60.78028146,4,BLOPTV01 -> BLOPEZ_2 -> BLO-PAY_1 -> PAYZUME -> S.TOME 1
2658-1,PEP6EO,P.E. PAMPA ENERGÍA VI (MATER),PEP6,2005.0,T PEPE,wind,138.0,-38.66417721,-61.95892303,3,PEP6EO -> PEPE 33 01 -> PEPE 33 02 -> T PEPE
4601-1,SGDEHI01,S. GRANDE ARG,SGDEHIAR,4601.0,SGAC1500_13.8kV_1,hydro,64.3571,-31.27378206,-57.94126545,0,
4603-3,SGDEHI03,S. GRANDE ARG,SGDEHIAR,4603.0,SGAC2500_13.8kV_1,hydro,64.3571,-31.27378206,-57.94126545,0,
4604-4,SGDEHI04,S. GRANDE ARG,SGDEHIAR,4604.0,SGAC2500_13.8kV_2,hydro,64.3571,-31.27378206,-57.94126545,0,
4605-5,SGDEHI05,S. GRANDE ARG,SGDEHIAR,4605.0,SGAC3500_13.8kV_1,hydro,64.3571,-31.27378206,-57.94126545,0,
4606-6,SGDEHI06,S. GRANDE ARG,SGDEHIAR,4606.0,SGAC3500_13.8kV_2,hydro,64.3571,-31.27378206,-57.94126545,0,
4613-7,SGDEHI13,S. GRANDE ARG,SGDEHIAR,4613.0,SGAC4500_13.8kV_1,hydro,64.3571,-31.27378206,-57.94126545,0,
8653-3,GUEMTV13,GUEMES,GUEM,8300.0,JUANCITO_132kV,steam,46.0292,-24.68926954,-65.04172111,2,GUEMTV13 -> GUEMES -> JUANCITO
4602-2,SGDEHI02,S. GRANDE ARG,SGDEHIAR,4602.0,SGAC1500_13.8kV_2,hydro,64.3571,-31.27378206,-57.94126545,0,
1600-6,ACAJTG06,AGUA DEL CAJON,CAPE,1200.0,A.CAJON_132kV_1,ccgt,73.2143,-38.93631045,-68.35730715,1,ACAJTG06 -> ACAJON 1
102-1,FUTAHI01,FUTALEUFU,FUTAHI,224.0,NPMADRYN_330kV,hydro,132.5,-43.1291857,-71.62994869,3,FUTAHI01 -> FUTAL330 -> PMADR330 -> NPMAD330
104-1,FUTAHI02,FUTALEUFU,FUTAHI,224.0,NPMADRYN_330kV,hydro,132.5,-43.1291857,-71.62994869,3,FUTAHI02 -> FUTAL330 -> PMADR330 -> NPMAD330
106-1,FUTAHI03,FUTALEUFU,FUTAHI,224.0,NPMADRYN_330kV,hydro,132.5,-43.1291857,-71.62994869,3,FUTAHI03 -> FUTAL330 -> PMADR330 -> NPMAD330
108-1,FUTAHI04,FUTALEUFU,FUTAHI,224.0,NPMADRYN_330kV,hydro,132.5,-43.1291857,-71.62994869,3,FUTAHI04 -> FUTAL330 -> PMADR330 -> NPMAD330
3620-1,ENSETG01,CO. ENSENADA,ENSE,3100.0,ABASTO_220kV,ocgt,62.6887,-34.89178136,-57.92335836,7,ENSETG01 -> ENSENADA -> YPF-ENSE -> LA PLATA E -> LA PLATA S -> LA PLATA1 -> LA PLATA -> ABASTO
