load_key,bus_id_origen,bus_name_origen,pl_mw,stat,match_type,bus_destino,bus_destino_name,n_saltos,camino
2355-1,2355,VADELMAR,13.074,1,bfs,2410,VIVORATA_132kV,2,VADELMAR -> V.GESSEL -> VIVORATA
2356-1,2356,V.GESSEL,33.703,1,bfs,2410,VIVORATA_132kV,1,V.GESSEL -> VIVORATA
2360-1,2360,ZARATE1,73.1,0,bfs,2292,CAMPANA_132kV_1,3,ZARATE1 -> TOYOTA -> CORCEMAR -> NCAMP1
2362-1,2362,ZARATE2,64.21,1,bfs,3122,RODRGUEZ_220kV_2,11,ZARATE2 -> CAMPANA 3 -> MATHEU01 -> DERQUI -> PILAR.BA -> PI.PILAR.BA -> P.I. N4 -> MANZONE -> P.I. N3 -> P.I. N2 -> RODRIG02 -> RODRIGU2
2363-1,2363,PALMAS.1,29.199,1,bfs,3120,RODRGUEZ_220kV_1,4,PALMAS.1 -> ATUCHA 1 -> ATUCHA 1 -> V. LIA -> RODRIGU1
2365-1,2365,PROTISA,21.0,1,bfs,3120,RODRGUEZ_220kV_1,5,PROTISA -> PALMAS.1 -> ATUCHA 1 -> ATUCHA 1 -> V. LIA -> RODRIGU1
2366-1,2366,SA ARECO,13.074,1,bfs,2294,CAMPANA_132kV_2,2,SA ARECO -> DCAM-VLI -> NCAMP2
2367-1,2367,EASTMAN,8.1,1,bfs,3120,RODRGUEZ_220kV_1,6,EASTMAN -> PROTISA -> PALMAS.1 -> ATUCHA 1 -> ATUCHA 1 -> V. LIA -> RODRIGU1
2370-1,2370,TOYOTA,15.838,1,bfs,2292,CAMPANA_132kV_1,2,TOYOTA -> CORCEMAR -> NCAMP1
2371-1,2371,TANDIL_IND,60.858,1,bfs,2298,OLAVARRI_132kV_2,2,TANDIL_IND -> LOSTEROS -> OLAVARR2
2374-1,2374,BARADERO,28.473,1,bfs,3120,RODRGUEZ_220kV_1,7,BARADERO -> P.PRENSA -> S.PEDRO1 -> PALMAS.1 -> ATUCHA 1 -> ATUCHA 1 -> V. LIA -> RODRIGU1
2378-1,2378,TORNQUIS,8.862,1,bfs,2206,B.BLANCA_132kV_1,2,TORNQUIS -> TRESPICOS -> B.BCA 1
2380-1,2380,CORCEMAR,10.0,1,bfs,2292,CAMPANA_132kV_1,1,CORCEMAR -> NCAMP1
2382-1,2382,ROSALES1,13.074,1,bfs,2206,B.BLANCA_132kV_1,2,ROSALES1 -> P. ALTA -> B.BCA 1
2384-1,2384,TONINAS1,21.645,1,bfs,2410,VIVORATA_132kV,6,TONINAS1 -> S.CLEMEN -> DOLORES -> LASARMAS -> MADARIAG -> V.GESSEL -> VIVORATA
2385-1,2385,SNICOLA3,39.659,1,bfs,2327,RAMALLO_132kV,1,SNICOLA3 -> RAMALLO2
2386-1,2386,RUTA2.1,28.909,1,bfs,2410,VIVORATA_132kV,4,RUTA2.1 -> M.PLATA1 -> BALCARCE -> PIQ 156 -> VIVORATA
2387-1,2387,SNICOLA4,0.0,0,bfs,2327,RAMALLO_132kV,2,SNICOLA4 -> SIDERAR -> RAMALLO2
2390-1,2390,PAMPITA1,14.0,1,bfs,2298,OLAVARRI_132kV_2,1,PAMPITA1 -> OLAVARR2
2392-1,2392,SUR,43.874,1,bfs,2206,B.BLANCA_132kV_1,3,SUR -> CHANARES -> NORTE II -> B.BCA 1
2394-1,2394,NORTE,12.161,1,bfs,2410,VIVORATA_132kV,7,NORTE -> PT02_1 -> PI_STA_CL_1 -> RUTA2.1 -> M.PLATA1 -> BALCARCE -> PIQ 156 -> VIVORATA
2504-1,2504,3-LOMAS,7.554,1,bfs,2245,HENDERS2_132kV,3,3-LOMAS -> TLAUQUE2 -> TLAUQUE1 -> HENDERS2
2508-1,2508,TLAUQUE1,3.322,0,bfs,2245,HENDERS2_132kV,2,TLAUQUE1 -> TLAUQUE1 -> HENDERS2
2509-1,2509,LUJAN,22.222,0,bfs,3365,RODRGUEZ_132kV_5,4,LUJAN -> LUJANBA2 -> MALVIBA1 -> P.I. N1 -> RODRIG01
2511-1,2511,CSARMIE1,8.453,1,sin_conexion,,,-1,
2512-1,2512,ARRECIFE,5.743,1,bfs,3120,RODRGUEZ_220kV_1,6,ARRECIFE -> PERGAMIN -> PERGAMI2 -> RAMALLO1 -> RAMALLOB -> V. LIA -> RODRIGU1
2515-1,2515,9JULBA1,9.638,1,bfs,2104,HENDERS2_220kV,4,9JULBA1 -> BRAGADO -> BRAGADO1 -> BRAGADO -> HENDERSO
2517-1,2517,RIVADBA,16.019,1,bfs,2245,HENDERS2_132kV,3,RIVADBA -> TLAUQUE1 -> TLAUQUE1 -> HENDERS2
2518-1,2518,CCASARES,13.108,1,sin_conexion,,,-1,
