bus_id,bus_name,bus_name_psse,bus_type,baskv_kv,ide,ide_desc,vm_pu,va_deg,lat,lon,parent_bus_id,name_geosadi
1226,CH.CHOEL_132kV,CH.CHOEL,secondary,132.0,1,PQ,1.02645,19.5633,-39.5683494675538,-65.6918994879858,1008.0,
1240,CHOCON_132kV,CHOCON,secondary,132.0,1,PQ,1.039,24.3733,-39.2577787621801,-68.7481460243195,1000.0,
1268,P.BAND._132kV,P.BAND.,secondary,132.0,1,PQ,1.03951,19.4192,-38.5599413381222,-68.4729226719437,1024.0,
1286,PUELCHE1_132kV,PUELCHES,secondary,132.0,1,PQ,1.03649,2.974,-38.1501427980517,-65.8229596357785,1026.0,
1289,MACACHIN_132kV,MACACHIN,secondary,132.0,1,PQ,1.04379,0.2522,-37.1513829345747,-63.5646568437383,1030.0,
1297,ALICURA_13.2kV_1,ALIC.TER2,secondary,13.2,4,isolated - unit offline in snapshot,1.0,0.0,-40.5796589124288,-70.7486596069552,1016.0,
1299,ALICURA_13.2kV_2,ALIC.TER,secondary,13.2,1,PQ,0.99841,21.9364,-40.5796589124288,-70.7486596069552,1016.0,
1611,ALICURA_13.8kV_1,ALICHI01,secondary,13.8,2,PV - active generator,0.98,33.746,-40.5796589124288,-70.7486596069552,1016.0,
1612,ALICURA_13.8kV_2,ALICHI02,secondary,13.8,2,PV - active generator,0.98,33.746,-40.5796589124288,-70.7486596069552,1016.0,
1613,ALICURA_13.8kV_3,ALICHI03,secondary,13.8,2,PV - active generator,0.99838,27.7819,-40.5796589124288,-70.7486596069552,1016.0,
1614,ALICURA_13.8kV_4,ALICHI04,secondary,13.8,2,PV - active generator,0.99838,27.7819,-40.5796589124288,-70.7486596069552,1016.0,
1651,P.AGUILA_15.7kV_1,PAGUHI01,secondary,15.7,2,PV - active generator,0.98,33.2521,-40.1892618749355,-69.991493972269,1002.0,
1652,P.AGUILA_15.7kV_2,PAGUHI02,secondary,15.7,2,PV - active generator,0.98,33.2521,-40.1892618749355,-69.991493972269,1002.0,
1653,P.AGUILA_15.7kV_3,PAGUHI03,secondary,15.7,2,PV - active generator,0.98,33.2521,-40.1892618749355,-69.991493972269,1002.0,
1654,P.AGUILA_15.7kV_4,PAGUHI04,secondary,15.7,2,PV - active generator,1.01164,27.0372,-40.1892618749355,-69.991493972269,1002.0,
