line_id,line_key,bus_i,bus_j,ckt,r_pu,x_pu,b_pu,ratea_mva,rating_defined,len_km,element_type,in_service,geo_nombre,match_status,geometry
13,CHOCONOE-T.AGUI1-1,1004,1014,1,0.001536,0.018314,1.71361,1850.0,True,164.1,line,True,ET.P.AGUILA - CHOCON OESTE 500 1,paralela,"LINESTRING (-70.0449319274665 -40.1619602328784, -70.0449071862176 -40.1603006311692, -70.0438835823614 -40.1541355393237, -70.0334718594387 -40.1335575319545, -70.0316418703759 -40.0540495967115, -70.0282077147142 -39.922448366299, -69.7392574739532 -39.7410355592436, -69.6268471770555 -39.7425463015706, -69.4967294521025 -39.6972807996691, -69.3575421047843 -39.5678398163544, -69.3366190635189 -39.548292864624, -69.3223469872236 -39.534806611436, -69.3202024683692 -39.5284554894292, -69.3189196727047 -39.524755444708, -69.3155799845286 -39.5183142924706, -69.312061944603 -39.5115379413229, -69.3063557435227 -39.5005463886049, -69.3022675046416 -39.4927163863521, -69.300101619694 -39.4885825365548, -69.2957214060181 -39.4800665827066, -69.2759697721872 -39.4420418193744, -69.1979908040323 -39.410241995072, -69.1752741153081 -39.4038938453247, -69.170354295814 -39.4019373486297, -69.1476972519266 -39.3896867900133, -69.1331992974096 -39.3837128005053, -68.9919461902645 -39.3256567447629, -68.9829590708044 -39.3216265229456, -68.9725635185915 -39.3170504693037, -68.9638321438383 -39.3132797801377, -68.9619664220127 -39.3125357647138, -68.9519407420715 -39.3087329805426, -68.9271829817092 -39.2994524311847, -68.8561889993228 -39.2725283515022, -68.8246640096363 -39.2426255004664, -68.7816824943516 -39.2394986980065, -68.780392588647 -39.2382329390988)"
14,CHOCONOE-T.AGUI1-2,1004,1014,2,0.001539,0.018347,1.71675,1850.0,True,164.4,line,True,ET.P.AGUILA - CHOCON OESTE 500 2,paralela,"LINESTRING (-68.7806237899559 -39.2380137662223, -68.781867207006 -39.2390668795328, -68.8250405998438 -39.2418526051136, -68.8461852817254 -39.2618793649407, -68.8567301861492 -39.2719847985596, -68.8853320608259 -39.2828244081199, -68.9096606476207 -39.2920514559099, -68.9478714285236 -39.3063736415303, -68.9722805082388 -39.315544653463, -68.9766600330341 -39.3171463244433, -68.9870467826829 -39.3220450449429, -69.0659432868532 -39.3546195668395, -69.1445200487612 -39.3872102450568, -69.1481942505642 -39.389147563709, -69.1576548549875 -39.394258453165, -69.1705432874427 -39.401266003823, -69.17547342306 -39.4032707014816, -69.1963282795264 -39.4091276154471, -69.2003538464528 -39.4101860518448, -69.2046726409296 -39.4119629161556, -69.2206171297767 -39.4184750033187, -69.2464385318128 -39.4291201191981, -69.2722319316583 -39.4397072575838, -69.2766434876068 -39.441533310314, -69.3445710821896 -39.5179854886393, -69.3475584096928 -39.5213782853795, -69.3480941007621 -39.5259055049351, -69.348502554849 -39.5383482513707, -69.3554594736758 -39.5647433911945, -69.4973070102103 -39.6967314389047, -69.6271201509741 -39.7417878394372, -69.7395097796526 -39.7402012141147, -69.8868642140122 -39.8325800882005, -70.0291937179157 -39.9217797563306, -70.0325319473914 -40.0529792946586, -70.0339573953175 -40.1126999649314, -70.0343125115132 -40.1254294979729, -70.0344974148238 -40.1334124011614, -70.0387755869237 -40.1419704297915, -70.0430426452019 -40.1505869161532, -70.0449053830769 -40.1542860606531, -70.0453966377446 -40.1605915735423, -70.0453220146992 -40.1619054003139)"
15,CHOCONOE-A.CAJON-1,1004,1025,1,0.000414,0.005009,0.61871,1732.0,True,52.0,line,True,AGUA CAJON CHOCON OESTE 500 1,directo,"LINESTRING (-68.3563161851438 -38.9398777745397, -68.3568523861287 -38.9407966874172, -68.3863008897742 -38.9474823994931, -68.3921634496834 -38.9493277085069, -68.4976328518746 -38.9741969434342, -68.503326266394 -38.9754438804307, -68.5089324259906 -38.9769423236293, -68.5129335979072 -38.9783565561102, -68.5166877971041 -38.9780349513519, -68.5527480309968 -39.0139466676046, -68.6260259100677 -39.1038861225465, -68.6298479927906 -39.1077051439772, -68.718508427422 -39.1826965732882, -68.7228275483527 -39.1864158374209, -68.7293791607196 -39.1928250070684, -68.7441811139672 -39.2076470745528, -68.7637689695622 -39.227106424222, -68.7660934022886 -39.2296469478483, -68.7734808850348 -39.2369208956828, -68.7767356718138 -39.236497532635, -68.7785135001978 -39.2372904864668)"
16,CHOE.CH-CH.CHOEL-1,1006,1008,1,0.0,-0.01734,0.0,1342.3,True,0.0,series_compensator,True,,compensador,
17,CHOE.PA-CH.CHOEL-2,1007,1008,2,0.0,-0.01461,0.0,1428.9,True,0.0,series_compensator,True,,compensador,
18,CHOE.PA-T.AGUI1-1,1007,1014,1,0.003109,0.03717,4.60202,1299.0,True,386.7,line,True,ET.P.AGUILA - CHOELE CHOEL 500 1,manual_geo,"LINESTRING (-65.6943398477057 -39.568589357213, -65.6954193129509 -39.5686608740001, -66.2112760944162 -39.675134847695, -66.5731906152546 -39.7483186109151, -66.6562327161669 -39.7649966479769, -66.6611870156682 -39.7662288819573, -66.6938816851916 -39.7745733548764, -66.7201083927881 -39.7812523670031, -66.7433733693854 -39.7820108929883, -67.3087327114454 -39.7986697942756, -67.4195772778691 -39.8016029610078, -67.4615296926411 -39.8026918142758, -67.4840099882703 -39.8033616185438, -67.5019328920893 -39.8041224791691, -67.6588774710185 -39.8102595994009, -67.7914944308233 -39.8152764890187, -67.9488988969665 -39.8209760198274, -68.1163764544098 -39.8269103564278, -68.225662008295 -39.8306632623996, -68.2316021221402 -39.8308977228516, -68.2423068306957 -39.8310548640907, -68.274858902816 -39.8312776846174, -68.3557037378372 -39.8317220171573, -68.6235175390032 -39.8328495745482, -68.671290378648 -39.8331001931194, -68.7639519321359 -39.834801946053, -68.9151270345849 -39.8373945961836, -69.0171865376286 -39.8389780666844, -69.1838921467051 -39.8414368716143, -69.2435906873603 -39.842248183307, -69.4693537562708 -39.8846341495463, -69.5926427220839 -39.9342590557108, -69.8994621546547 -40.05730628106, -69.920724163889 -40.0657884069094, -69.9520478745098 -40.0768286291379, -69.9884518005101 -40.0892052772018, -70.0043789962936 -40.0945132503862, -70.0190504606102 -40.1187645332566, -70.0225079554777 -40.1241161082717, -70.0382561951672 -40.1500883814736, -70.0423471032362 -40.1577948744339, -70.044082939576 -40.1611293645285, -70.0442078563075 -40.1619784108749)"
19,CH.CHOEL-CHOE.BB1-1,1008,1010,1,0.0,-0.01765,0.0,1333.7,True,0.0,series_compensator,True,,compensador,
20,CH.CHOEL-CHOE.BB2-2,1008,1011,2,0.0,-0.01391,0.0,1333.7,True,0.0,series_compensator,True,,compensador,
21,CHOE.BB1-B.BLANCA-1,1010,2000,1,0.003239,0.038614,3.61311,1981.0,True,346.0,line,True,CHOELE CHOEL B.BLANCA 500 1,manual_geo,"LINESTRING (-65.6895127618045 -39.5683165172934, -65.688549520444 -39.5682920746195, -65.6635276570757 -39.5752764542449, -65.6366407922387 -39.5830822980096, -65.6056473684313 -39.5919777495735, -65.5744319676612 -39.6009148181643, -65.5483775135114 -39.6083971218297, -65.5174673309525 -39.6172252006824, -65.4908440628032 -39.6171290163909, -65.4646786206218 -39.61709695556, -65.4543289805979 -39.6169687104376, -65.4500108507202 -39.6169299694425, -65.4470557926907 -39.6146642651437, -65.4257044591934 -39.5977492926957, -65.4026744304805 -39.5796165590569, -65.364328045303 -39.5669550444397, -65.2869693458586 -39.5416678747725, -65.2050601362163 -39.5146162361504, -65.1392996928265 -39.4929930331019, -65.0517855835378 -39.4639945403157, -64.970153843525 -39.4369983790719, -64.89412700136 -39.4116210190947, -64.8067793745685 -39.3825886245653, -64.7307525333027 -39.3571914606174, -64.6490098052583 -39.3296817514117, -64.5674335588117 -39.3022041569962, -64.4925720923281 -39.276949606639, -64.4167672262265 -39.2513421632102, -64.3410178554896 -39.2255963977555, -64.292238589939 -39.2090436308589, -64.2703739360083 -39.2016473671322, -64.2599410556352 -39.1977769188697, -64.2449021696993 -39.1917988077687, -64.2342473123636 -39.1881428774918, -64.2120496943379 -39.1816907724112, -64.1252015141386 -39.151960425733, -64.05000708356 -39.1263073704887, -64.0234670566593 -39.1182996370186, -64.0132561523495 -39.1150381628809, -64.0086640197287 -39.112766881886, -64.0040302673829 -39.1105708813411, -63.9821656134523 -39.1000743478529, -63.9677649089234 -39.0905776752195, -63.9565828582123 -39.0804335581622, -63.9417520753979 -39.0669596580617, -63.93375399615 -39.05962924989, -63.9340453396207 -39.0544312538992, -63.9353217024346 -39.0243992827007, -63.9348638764667 -39.0207131028274, -63.9324637594949 -39.0138036915871, -63.9222667281269 -38.9836142598902, -63.917133529189 -38.968967748163, -63.9151565540317 -38.9628785231253, -63.9006864820954 -38.9593725323165, -63.8804311550737 -38.9544962202243, -63.8399343757708 -38.9446454764076, -63.7965380329039 -38.9341134844497, -63.7545845344487 -38.9239037294735, -63.7121870847661 -38.9134766074594, -63.6724256010606 -38.9037821109556, -63.6329138411008 -38.8941078869694, -63.592264453142 -38.8841299628275, -63.5521977530239 -38.8743234512662, -63.4913762792918 -38.8592438395315, -63.4646142763277 -38.8526752155887, -63.4220780909311 -38.8421511871275, -63.3814564497553 -38.8321443542785, -63.3419169430124 -38.8222658196119, -63.3015034040588 -38.8122453800202, -63.281331319185 -38.807207603648, -63.2672913255342 -38.8032722692997, -62.979360473507 -38.701115491087, -62.9671448463575 -38.6965083946466, -62.9267313083032 -38.6819867888592, -62.8924637353131 -38.6698127922265, -62.8612483354423 -38.6585467520309, -62.8410835036008 -38.6513961642016, -62.7675975753678 -38.6511112005214, -62.570127985618 -38.6492226161308, -62.5028949788202 -38.6477225964206, -62.4428934682589 -38.6462095913995, -62.3548350802747 -38.6436964809078, -62.256473470774 -38.640856820286, -62.0576471457991 -38.6575926163061, -62.0549469448456 -38.6567067022525)"
22,CHOE.BB2-B.BLANCA-2,1011,2000,2,0.002801,0.033488,4.14622,1732.1,True,348.4,line,True,CHOELE CHOEL - PI608 CHOELE 500 2,manual_geo,"LINESTRING (-65.6895667499056 -39.5678079515757, -65.6755559914158 -39.5666422206619, -65.6557723642032 -39.5649203247132, -65.6157611576513 -39.5612838836443, -65.5929531050018 -39.5273916373142, -65.5872753710615 -39.5187768605636, -65.5852706482218 -39.5155018947966, -65.5825445036259 -39.5114507844261, -65.5771199603179 -39.5033585587505, -65.5743591315686 -39.4991622195607, -65.5714665044756 -39.4948371550107, -65.5688790946944 -39.4909829107327, -65.561449829446 -39.4867644095498, -65.5525915927278 -39.4816997290592, -65.5428523873278 -39.4760403412887, -65.5379966589186 -39.4732238615919, -65.5234849663581 -39.4682224556018, -65.5186483134689 -39.4666038827629, -65.5137301532239 -39.4649169920255, -65.5087634367831 -39.463203284404, -65.4980669588231 -39.4595026020634, -65.4590546454555 -39.4461013788755, -65.4200423320879 -39.4326011376323, -65.3818069349421 -39.4194626774606, -65.353810188889 -39.4098162272371, -65.3118566913332 -39.3953654925234, -65.2672672260016 -39.3799037516568, -65.2277277192588 -39.3661332704341, -65.1880217300188 -39.3524029853095, -65.1545865677159 -39.3407086618752, -65.1151857957878 -39.3270592338965, -65.0761179879547 -39.31338567351, -65.0366894692436 -39.2995591375441, -65.0030323308773 -39.2878130248512, -64.9862176355354 -39.2818962753927, -64.8581373795364 -39.2371232548343, -64.7501459680619 -39.1991168169875, -64.592320903387 -39.1431015468988, -64.4396012917662 -39.0886784563457, -64.4218570706473 -39.0825403054907, -64.4051256165539 -39.0660615752814, -64.3714129846215 -39.0332434459282, -64.3549035056922 -39.0171628168105, -64.3396981372592 -39.0022860561566, -64.2949976838959 -38.9585971458416, -64.276407179148 -38.9402874606977, -64.2470785767149 -38.9103905442881, -64.2030163047586 -38.8652947021887, -64.1938320404163 -38.8561014014585, -64.1875612134792 -38.8496297280295, -64.1576776699885 -38.8190352731593, -64.1509073964592 -38.8121170071941, -64.0982990415675 -38.8059332391276, -62.4214584006846 -38.6086775531265, -62.4813655840544 -38.6088670375837, -62.520488886353 -38.6090838596324, -62.5576976435314 -38.6092139519623, -62.599456911807 -38.6093657269467, -62.6224869405198 -38.609474136622, -62.6997623987157 -38.6096475924623, -62.7338079947431 -38.6098427300579, -62.7771488440439 -38.6098860935683, -62.8206561749425 -38.6099945032437, -62.8617495159274 -38.6100595485093, -62.8657034662419 -38.6100270254269, -62.8752068217374 -38.6143632622547, -62.9191719786039 -38.6342848976299, -62.9661754347485 -38.6555661010946, -63.0261090033278 -38.6826460638647, -63.1109039044916 -38.6922190880404, -63.1869862402228 -38.7007947361881, -63.2693948964572 -38.7096291777443, -63.3176192218496 -38.7150418985647, -63.4006938071734 -38.7245239976843, -63.4747228629697 -38.7331390613186, -63.6045234348086 -38.7481588213724, -63.6834914602626 -38.7570306828197, -63.7666770336182 -38.7669831660403, -63.8522488510037 -38.7771073109536, -63.9312723718225 -38.7864946566031, -64.0181205520218 -38.7966592826997, -64.0982990415675 -38.8059332391276)"
23,C.COSTA-P.BAND.-1,1012,1024,1,0.00028,0.003002,0.28019,866.0,True,27.0,line,True,C.COSTA - P.BANDERITA 500 1,directo,"LINESTRING (-68.4725982891796 -38.560071016764, -68.4720279319434 -38.5602654726734, -68.4697353280229 -38.5613026248162, -68.4680793029174 -38.5625687083792, -68.465997540554 -38.5641407601879, -68.4634483168863 -38.5660465459113, -68.4600248901365 -38.5685930221502, -68.4573350907418 -38.5706189501044, -68.4537014879333 -38.5734367949721, -68.4511206045322 -38.5753356451239, -68.4481693982991 -38.57755184714, -68.4454441818035 -38.5795998552491, -68.4423049183373 -38.5819829192762, -68.4391578631448 -38.5842912199638, -68.4360723026946 -38.5866278160208, -68.4330607780324 -38.5889163541064, -68.4299098593525 -38.5913340258446, -68.4266871226126 -38.5936937803436, -68.4238590164804 -38.5958664156025, -68.4208988125301 -38.5980882221937, -68.4178219737051 -38.6003467741842, -68.414819262399 -38.6026158905109, -68.4115133860339 -38.6050938887719, -68.4084620888543 -38.6074147493911, -68.405198136185 -38.6097907717267, -68.4022580401764 -38.6121382522785, -68.3994058717835 -38.6142893415798, -68.3965712896332 -38.6164216413457, -68.3936745697256 -38.6185699346547, -68.3905612615929 -38.6207786992775, -68.3872022676705 -38.6232289930236, -68.3841808270835 -38.6255368971101, -68.3812731741177 -38.6277391758223, -68.3783032314089 -38.6298895897327, -68.3754464908628 -38.632070804524, -68.3724251815768 -38.6342554286451, -68.3695967408968 -38.636414726958, -68.3666744361763 -38.6386016686321, -68.3637263137184 -38.6408309764684, -68.3607749725869 -38.6430074527317, -68.3579024786164 -38.6451607696537, -68.3549791081992 -38.647335980571, -68.3520292104797 -38.6495039699322, -68.3490985735403 -38.6516667234405, -68.3462216486101 -38.6538401393109, -68.3433181514115 -38.6560261906561, -68.3403958233085 -38.6581879162393, -68.3374888889011 -38.6603720538272, -68.3345227746063 -38.6625126804159, -68.3316562314499 -38.6647102017144, -68.3287121145724 -38.6669123994876, -68.3258145007386 -38.6690688469497, -68.3228603015616 -38.6712375746543, -68.3199219835127 -38.6734357929275, -68.3168639917798 -38.6756961588506, -68.3139254093301 -38.6779039674941, -68.3111748220604 -38.6799501679658, -68.3082818028629 -38.6821416934843, -68.305356464729 -38.6843003982447, -68.3023787024151 -38.6864539157156, -68.2994121348621 -38.6886997018297, -68.2965147233758 -38.6909590038549, -68.2936227455932 -38.6930702343038, -68.2907029508804 -38.6951900550769, -68.2877989887323 -38.697335720567, -68.2819017671528 -38.7016993075769, -68.2790170028323 -38.7038296693037, -68.2760777593811 -38.7059837137773, -68.2731740895126 -38.7081643988679, -68.2702061190171 -38.7103434049242, -68.2674014788951 -38.7124397443986, -68.2645420556713 -38.7145577107697, -68.2616356860381 -38.7167312570418, -68.2585365817978 -38.7189758416617, -68.2579311887733 -38.7193983098841)"
24,C.COSTA-PUELCHE1-1,1012,1026,1,0.002226,0.023797,2.22078,1299.0,True,214.0,line,True,C.COSTA PUELCHES 500 1,paralela,"LINESTRING (-65.8231791638873 -38.1517209787401, -65.8282580356798 -38.1524709539713, -65.9463719130333 -38.1685132980503, -66.0563520726899 -38.1307114559689, -67.1377271810645 -38.3459148391984, -67.1415390762673 -38.3634579782031, -67.4491977489769 -38.4347863105398, -67.6722440703076 -38.485921939246, -68.1064791769724 -38.5841586625922, -68.2324752990957 -38.6547796718443, -68.2334918333814 -38.6554840514478, -68.2335132597291 -38.6714524047047, -68.2334930744458 -38.675812717283, -68.2336481616333 -38.6964959336404, -68.2373822546872 -38.7004309100584, -68.2537319195924 -38.7169785058533, -68.2568481010589 -38.7201701368423)"
25,C.COSTA-PUELCHE1-2,1012,1026,2,0.002226,0.023797,2.22078,1299.0,True,214.0,line,True,C.COSTA PUELCHES 500 2,paralela,"LINESTRING (-68.257173232059 -38.7193015356373, -68.2380518323262 -38.7000211339681, -68.2343674223187 -38.6954618337966, -68.234262882426 -38.6714766944938, -68.2344491886791 -38.6551616067227, -68.1067037979419 -38.5834352704214, -67.1423264165309 -38.3629659941852, -67.138433526586 -38.345355578697, -66.0562486560506 -38.1300220941443, -65.9462546414385 -38.1678288177457, -65.8283435818907 -38.151915053337, -65.8234818073395 -38.1512229224998)"
26,T.AGUI1-ALICURA-1,1014,1016,1,0.000709,0.008459,0.79154,1386.0,True,75.8,line,True,ALICURA ET.P.AGUILA 500 1,paralela,"LINESTRING (-70.0449470090971 -40.1635864832295, -70.0449673517618 -40.1649462725524, -70.0520951004085 -40.170823061535, -70.0599225413922 -40.1864297272501, -70.1181298046467 -40.2240557995355, -70.3158249263792 -40.3512811905745, -70.5013077646416 -40.443762549602, -70.5850971311277 -40.4854335934855, -70.5883692127689 -40.4979068494215, -70.5904007219157 -40.5047790224339, -70.7137450427995 -40.5502182301871, -70.7367097429602 -40.5701484370008, -70.7413125145608 -40.5739175739369, -70.748190341611 -40.5787714380514, -70.748434992281 -40.5795336377671)"
27,T.AGUI1-ALICURA-2,1014,1016,2,0.000711,0.008482,0.79363,1386.0,True,76.0,line,True,ALICURA ET.P.AGUILA 500 2,paralela,"LINESTRING (-70.7488728766819 -40.5795426453768, -70.7486876586085 -40.5784749423647, -70.7415852744408 -40.5731466669851, -70.7342073973535 -40.5665702495174, -70.7227791455411 -40.5565264284519, -70.7156094246352 -40.5501303124639, -70.6912404348981 -40.5411307643732, -70.6605470564015 -40.5298372552851, -70.6385680257937 -40.5216852615656, -70.6124916848433 -40.5121279557405, -70.5910286465548 -40.5042701131752, -70.589505991808 -40.4979764380621, -70.5870989527544 -40.4878296410251, -70.5866275182453 -40.4853821819421, -70.5533960649764 -40.4688712362185, -70.5169341668783 -40.4504472553365, -70.4734511545471 -40.4290818177716, -70.4336961315712 -40.4092566490751, -70.4262925626516 -40.4055415524007, -70.4127062445975 -40.3987808503559, -70.4098581303484 -40.3973199826311, -70.4036926445999 -40.3942677249755, -70.36008544129 -40.372526610015, -70.3497179371331 -40.3673403321905, -70.3170442389005 -40.3510964689269, -70.2637229869263 -40.316847916598, -70.1967456915604 -40.2737416320706, -70.1188182878337 -40.2235559599396, -70.0821531663355 -40.1997139198615, -70.0607203866365 -40.1860386120922, -70.0525164040088 -40.1696708141567, -70.0453647738652 -40.1644856353038, -70.0453335494037 -40.1635650847608)"
