bus_name_origen,geosadi_name,nemo,carrier,p_nom,marginal_cost_match,cost_source,CVP_manual,
ZARATG04,C.T ZARATE,ZARA,ocgt,50.8,YES,CVP_THERMAL,,
ZARATG03,C.T ZARATE,ZARA,ocgt,52.5,YES,CVP_THERMAL,,
GARRTV01,C.T. GARRUCHOS,GARR,biomass,40,NO,,,
GNV2EO01,P.E. VIENTOS LA GENOVEVA II (MATER),GNV2EO,wind,41.8,NO,,P.E. LA GENOVEVA,
GZ2AFV01,P.S. GUAÑIZUL II A,GZ2A,solar,108,NO,,P.S. GUA�IZUIL II A,
HESRFV,P.S.F.V HELIOS SANTA ROSA PV,HESRFV,solar,5,NO,mater,69.2,
HON1FV01,P.S. C.HONDA 1,HON1FV,solar,3,NO,,,P.S. Cerros del Sol
INDETG04,INDEPENDENCIA,INDE,ocgt,49,YES,CVP_THERMAL,,
EZEITG04,CT EZEIZA,EZEI,ocgt,52.97,YES,CVP_THERMAL,,
HON4FV01,P.S. C. HONDA IV,HON4FV,solar,6,NO,,,P.S. Cerros del Sol
HSR2FV01,P.S. HELIOS SANTA ROSA II,HSR2FV,solar,5.2,NO,mater,69.2,
MMARTG07,MARANZANA,MMAR,ocgt,46.98,YES,CVP_THERMAL,,
MMARTG06,MARANZANA,MMAR,ocgt,47.1,YES,CVP_THERMAL,,
EZEITG02,CT EZEIZA,EZEI,ocgt,50.5838,YES,CVP_THERMAL,,
EZEITG03,CT EZEIZA,EZEI,ocgt,50.6,YES,CVP_THERMAL,,
MMARTG08,MARANZANA,MMAR,ocgt,49.68,YES,CVP_THERMAL,,
MDPATG23,MAR DEL PLATA,MDPA,ocgt,46,YES,CVP_THERMAL,,
MDPATG24,MAR DEL PLATA,MDPA,ocgt,47.37,YES,CVP_THERMAL,,
ACAJTG03,AGUA DEL CAJON,ACAJ,ccgt,48.3236,YES,CVP_THERMAL,,
ACAJTG01,AGUA DEL CAJON,CAPE,ccgt,45.21,YES,CVP_THERMAL,,
IGLEFV01,P.S. IGLESIA GUAÑIZUL,IGLE,solar,81,NO,,P.S. Iglesia - Gua�izuli,
LEALTV01,C.T. COGENERACI N INGENIO LEALES,LEAL,biomass,2.226,NO,,,
LEONEO01,PE CAÑADON LEON,LEON,wind,103,NO,,P.E. CA�ADADON LEON,
LRIOTG24,LA RIOJA,LRIO,ocgt,46.89,YES,CVP_THERMAL,,
INDETG03,INDEPENDENCIA,INDE,ocgt,48,YES,CVP_THERMAL,,
LEV1EO01,P.E. GRAL. LEVALLE (MATER),LEV1EO,wind,62,NO,,LEO1CAEO,
ACAJTG04,AGUA DEL CAJON,ACAJ,ccgt,49.1535,YES,CVP_THERMAL,,
ACAJTG05,AGUA DEL CAJON,ACAJ,ccgt,50.7585,YES,CVP_THERMAL,,
ACAJTG02,AGUA DEL CAJON,ACAJ,ccgt,48.1576,YES,CVP_THERMAL,,
LHEREO01,PE LOS HERCULES,LHEREO,wind,98,NO,,P.E. Vientos Los H�rcules,
EZEITG01,CT EZEIZA,EZEI,ocgt,50.592,YES,CVP_THERMAL,,
LDCUTG26,LUJAN DE CUYO,LDCU,ocgt,48.384,YES,CVP_THERMAL,,
LDCUTG27,LUJAN DE CUYO,LDCU,ocgt,48.402,YES,CVP_THERMAL,,
CHN4EO01,P.E. CHUBUT NORTE IV,CHN4EO,wind,44.7368,YES,CVP_RENOVAR,,
PHUITG01,PLAZA HUINCUL,PHUI,ocgt,31.673,YES,CVP_THERMAL,,
ARROHI01,ARROYITO,ARROHI,hydro,42.6,PENDING,,,
ARROHI03,ARROYITO,ARROHI,hydro,42.6,PENDING,,,
ARROHI02,ARROYITO,ARROHI,hydro,42.6,PENDING,,,
LLANFV01,Parque de los Llanos (MATER),LLANFV,solar,20,NO,mater,65,
QULLHI01,QUEBRADA ULLUM,QULLHI,hydro,48,PENDING,,,
LOM1EO01,L. BLANCA 1 ENARSA,LOM1EO,wind,52,NO,,P.E. Loma Blanca I,
YPFATG02,YPF LOS PERALES,YPFA,ocgt,8.8588,YES,CVP_THERMAL_AVERAGE,P.E. Loma Blanca II,
YPFATG01,YPF LOS PERALES,YPFA,ocgt,17.7176,YES,CVP_THERMAL,P.E. Loma Blanca III,
ENSETG01,CO. ENSENADA,ENSE,ocgt,62.6066,NO,,EBARTG02,
EZEITV05,CT EZEIZA,EZEI,ocgt,42.09,NO,,EZEICC03,
CAFAFV,P.S. Cafayate,CAFAFV,solar,83,YES,CVP_RENOVAR,EZEICC03,
CAFAFV,P.S. Cafayate,CAFAFV,solar,83,YES,CVP_RENOVAR,,
EZEITV06,CT EZEIZA,EZEI,ocgt,42.53,NO,,EZEICC03,
BANDEO,P.E. LA BANDERITA,BANDEO,wind,40,YES,CVP_RENOVAR,EZEICC03,
CHN4EO01,P.E. CHUBUT NORTE IV,CHN4EO,wind,40.2632,YES,CVP_RENOVAR,,
PATATG01,C.T. PATAGONIA,PATA,ccgt,38.01,YES,CVP_THERMAL,,
PATATG02,C.T. PATAGONIA,PATA,ccgt,37.6,YES,CVP_THERMAL,,
LOM2EO01,L. BLANCA 2 ENARSA,LOM2EO,wind,52,NO,,P.E. Loma Blanca II,
MAGDDI01,MAGDALENA ENARS,MAGD,diesel,25,YES,CVP_THERMAL,P.E. Loma Blanca II,
LOM3EO01,L. BLANCA 3 ENARSA,LOM3EO,wind,51.2,NO,,P.E. Loma Blanca III,
SOESTG01,SUD OESTE,SOES,ocgt,0,YES,CVP_THERMAL,P.E. Loma Blanca II,
SOESTG02,SUD OESTE,SOES,ocgt,0,YES,CVP_THERMAL,P.E. Loma Blanca III,
SOESTG04,SUD OESTE,SOES,ocgt,0,YES,CVP_THERMAL,,
SOESTG03,SUD OESTE,SOES,ocgt,23.1,YES,CVP_THERMAL,,
NONOFV01,P.S. Nonogasta,NONOFV,solar,35,YES,CVP_RENOVAR,,
LEDE.TV01,LEDESMA,LEDE,ocgt,3.5009,YES,CVP_THERMAL,,
RUFIDI01,RUFINO STA FE,RUFI,diesel,31.9,YES,CVP_THERMAL,,
DSUDTG07,DOCK SUD,DSUD,ocgt,31.2,YES,CVP_THERMAL,,
DSUDTG08,DOCK SUD,DSUD,ocgt,30.3,YES,CVP_THERMAL,,
CCORHI03,CABRA CORRAL,CCORHI,hydro,32,PENDING,,,
CCORHI01,CABRA CORRAL,CCORHI,hydro,32,PENDING,,,
CCORHI02,CABRA CORRAL,CCORHI,hydro,32,PENDING,,,
VGADDI01,VILLEGAS ENARSA,VGAD,diesel,2.6,YES,CVP_THERMAL,,
LOM6EO01,P.E. L. BLANCA 6,LOM6EO,wind,51.5,NO,,P.E. Loma blanca 6,
NECOTV02,NECOCHEA,NECO,steam,0,YES,CVP_THERMAL_AVERAGE,,
BANDDI01,BANDERA DISTRIB,BAND,diesel,30.2,YES,CVP_THERMAL,,
NECOTV01,NECOCHEA,NECO,steam,0,YES,CVP_THERMAL_AVERAGE,,
PNEGHI01,PUNTA NEGRA,PNEGHI,hydro,31.64,PENDING,,,
PNEGHI02,PUNTA NEGRA,PNEGHI,hydro,31.64,PENDING,,,
ULN2FV01,P.S. Ullum N2,ULN2FV,solar,25.6,YES,CVP_RENOVAR,,
CACHHI03,C.H.CACHEUTA,CACHHI,hydro,30,PENDING,,,
CACHHI02,C.H.CACHEUTA,CACHHI,hydro,30,PENDING,,,
CPIEHI01,CASA DE PIEDRA,CPIEHI,hydro,28.5,PENDING,,,
CPIEHI02,CASA DE PIEDRA,CPIEHI,hydro,28.5,PENDING,,,
CACHHI01,C.H.CACHEUTA,CACHHI,hydro,30,PENDING,,,
CACHHI04,C.H.CACHEUTA,CACHHI,hydro,30,PENDING,,,
LOM6EO01,P.E. L. BLANCA 6,LOM6EO,wind,51.5,NO,,P.E. Loma blanca 6,
LDCUTG22,LUJAN DE CUYO,LDCU,ccgt,24.373,YES,CVP_THERMAL,,
LOMAFV01,P.S. LAS LOMAS,LOMAFV,solar,34,NO,mater,52.3,
LIBEDI01,LIB. SAN MARTIN,LIBE,diesel,13.2,YES,CVP_THERMAL,,
MDPATV08,MAR DEL PLATA,MDPA,steam,23.52,YES,CVP_THERMAL,,
MDPATV07,MAR DEL PLATA,MDPA,steam,25,YES,CVP_THERMAL,,
SVICDI01,S.VICENTE BSAS,SVIC,diesel,27.6,YES,CVP_THERMAL,,
ABRODI01,ALTE BROWN ENAR,ABRO,diesel,23.7,YES,CVP_THERMAL,,
MOLITV01,MOLINOS AUTOG.,MOLI,steam,0.272,YES,CVP_THERMAL,,
LRI2FV,P.S. 360 ENERGY LA RIOJA II,LRI2FV,solar,20.0576,NO,mater,58.7,
CORRDI01,CORRIENTES,CORR,diesel,0,YES,CVP_THERMAL,,
APARTV01,ACEROS PARANA,APAR,steam,0,YES,CVP_THERMAL,,
APARTV01,ACEROS PARANA,APAR,steam,0,YES,CVP_THERMAL,,
APARTV01,ACEROS PARANA,APAR,steam,0,YES,CVP_THERMAL,,
APARTV01,ACEROS PARANA,APAR,steam,0,YES,CVP_THERMAL,,
NIH3HI01,NIHUIL 3,NIH3HI,hydro,20.5,PENDING,,,
NIH3HI02,NIHUIL 3,NIH3HI,hydro,20.5,PENDING,,,
LRIOFV,P.S. 360 ENERGY LA RIOJA,LRIOFV,solar,62.7842,NO,mater,58.7,
AVALTG23,ALTO VALLE,AVAL,ccgt,24.861,YES,CVP_THERMAL,,
AVALTG22,ALTO VALLE,AVAL,ccgt,24.746,YES,CVP_THERMAL,,
NIH4HI01,NIHUIL 4,NIH4HI,hydro,23.7579,PENDING,,,
MAL1EO01,MALASPINA1 ENARSA,MAL1EO,wind,51,NO,,P.E. Malaspina I,
MANAEO01,MANANTIALES BEHR (YPF),MANAEO,wind,51.75,NO,,,P.E. CA�ADADON LEON
MANAEO02,MANANTIALES BEHR (YPF),MANAEO,wind,51.75,NO,,,P.E. CA�ADADON LEON
MAT3EO,P.E. MATACO III,MAT3EO,wind,36,NO,,P.E. EL MATACO,
NEC1EO01,P.E. NECOCHEA I,NEC1EO,wind,37.25,NO,,P.E. Vientos de Necochea 1,
KOSTEO01,P.E. Kosten,KOSTEO,wind,24,YES,CVP_RENOVAR,,
VSECEO01,P.E. Vientos del Secano,VSECEO,wind,25,YES,CVP_RENOVAR,,
ULN1FV01,P.S. Ullum N1,ULN1FV,solar,25.6,YES,CVP_RENOVAR,,
HUEMDI01,HUEMUL SINOPEC,HUEM,diesel,11.497,YES,CVP_THERMAL,,
MDPATG22,MAR DEL PLATA,MDPA,ocgt,20.5,YES,CVP_THERMAL,,
MSEVTG01,MARIO SEVESO,MSEV,ccgt,16.0543,YES,CVP_THERMAL,,
MDPATG13,MAR DEL PLATA,MDPA,ocgt,0,YES,CVP_THERMAL_AVERAGE,,
CONDHI01,C.H. A.CONDARCO,CONDHI,hydro,25.0923,PENDING,,,
SNICTG01,SAN NICOLAS,SNIC,ocgt,19.1,YES,CVP_THERMAL,,
VSECEO01,P.E. Vientos del Secano,VSECEO,wind,25,YES,CVP_RENOVAR,,
AESPTG04,AES-PARANA,AESP,ocgt,18.9,YES,CVP_THERMAL,,
