gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,falta,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino,COMENTARIOS
605-1,605,LOM6EO01,P.E. L. BLANCA 6,ok,wind,25.932,50.4,1,-42.90473517,-65.35519946,exacto,manual,221,NPMADRYN_132kV,-1,,
209-9,209,ALUATV01,ALUAR,ok,ccgt,32,50.35,0,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
3612-1,3612,COSMDI11,MOTORES COSTANE,bus,steam,30,35.864,0,-34.62758329,-58.33888835,exacto,sin_conexion,,,-1,,
208-8,208,ALUATG08,ALUAR,ok,ccgt,38,49,0,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
7604-26,7604,LDCUTG26,LUJAN DE CUYO,ok,ocgt,35,45,1,-33.05568314,-68.98082788,manual,bfs,7216,GRAN MZA_132kV,3,LDCUTG26 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA,
7605-27,7605,LDCUTG27,LUJAN DE CUYO,ok,ocgt,35,45,1,-33.05568314,-68.98082788,manual,bfs,7216,GRAN MZA_132kV,3,LDCUTG27 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA,
207-7,207,ALUATG07,ALUAR,ok,ccgt,38,41,0,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
205-5,205,ALUATG05,ALUAR,ok,ocgt,38,38.2,1,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
206-6,206,ALUATG06,ALUAR,ok,ocgt,32,38.2,1,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
8686-1,8686,TABATV01,SMARTIN TABACAL,ok,steam,30,36.08,1,-23.25376052,-64.24109682,exacto,bfs,8300,JUANCITO_132kV,6,TABATV01 -> TABACAL -> PICHANAL -> CAIMANCI -> LIBERTADOR -> SPED.JUJ -> JUANCITO,
