gen_key,bus_name_origen,geosadi_name,carrier,bus,p_nom_mw,total_energy_mwh,average_power_mw,peak_power_mw,capacity_factor_pct
2690-1,VSECEO01,P.E. Vientos del Secano,wind,B.BLANCA_132kV_1,25.0,1953.43,11.63,23.52,46.51
2666-4,ROJOTG04,G ROJO R.ENERGY,ocgt,RAMALLO_132kV,50.0,1941.09,11.55,36.77,23.11
7637-1,TOC3FV,P.S. TOCOTA III (MATER),solar,NVA.SJUAN_132kV,60.0,1914.81,11.4,54.1,19.0
7625-1,PNEGHI01,PUNTA NEGRA,hydro,NVA.SJUAN_132kV,31.64,1897.97,11.3,18.7,35.71
7626-2,PNEGHI02,PUNTA NEGRA,hydro,NVA.SJUAN_132kV,31.64,1897.97,11.3,18.7,35.71
5604-1,BSROTV01,BM Santa Rosa,biomass,P.PATRIA_132kV,15.0,1883.63,11.21,13.98,74.75
2656-1,PE32EO,P.E. PAMPA ENERGÍA III - AMPLIACIÓN 2,wind,B.BLANCA_132kV_2,27.0,1815.34,10.81,17.73,40.02
8628-1,LOMAFV01,P.S. LAS LOMAS,solar,RIOJASUR_132kV,34.0,1802.22,10.73,30.77,31.55
7614-1,ULL3FV01,P.S. Ullum 3,solar,NVA.SJUAN_132kV,32.8,1788.39,10.65,30.37,32.45
8649-2,AR22EO01,P.E. ARAUCO II (ETAPAS 3 Y 4),wind,RIOJASUR_132kV,33.9117,1785.07,10.63,27.39,31.33
8676-1,NONOFV01,P.S. Nonogasta,solar,RIOJASUR_132kV,35.0,1738.33,10.35,31.06,29.56
491-1,PATATG01,C.T. PATAGONIA,ccgt,SCN_500_132kV,38.01,1679.74,10.0,35.8,26.3
8688-2,INDETG02,INDEPENDENCIA,ocgt,BRACHO_132kV_3,54.3,1613.89,9.61,48.0,17.69
2628-23,MDPATG23,MAR DEL PLATA,ocgt,VIVORATA_132kV,46.0,1607.48,9.57,46.0,20.8
2631-24,MDPATG24,MAR DEL PLATA,ocgt,VIVORATA_132kV,47.37,1604.81,9.55,45.76,20.17
8668-3,ARAUEO,P.E. ARAUCO,wind,RIOJASUR_132kV,26.0,1556.54,9.27,23.31,35.64
8670-4,ARAUEO,P.E. ARAUCO,wind,RIOJASUR_132kV,26.0,1556.54,9.27,23.31,35.64
8656-2,ARAUEO,P.E. ARAUCO,wind,RIOJASUR_132kV,26.0,1556.54,9.27,23.31,35.64
8658-1,ARAUEO,P.E. ARAUCO,wind,RIOJASUR_132kV,26.0,1556.54,9.27,23.31,35.64
7612-1,ULN1FV01,P.S. Ullum N1,solar,NVA.SJUAN_132kV,25.6,1425.78,8.49,24.52,33.15
3660-1,SMIGDI01,S.MIGUEL N ENAR,biogas,RODRGUEZ_220kV_2,10.027,1416.41,8.43,9.58,84.08
3673-1,SMIGDI01,S.MIGUEL N ENAR,biogas,RODRGUEZ_220kV_2,10.027,1416.41,8.43,9.58,84.08
7613-1,ULN2FV01,P.S. Ullum N2,solar,NVA.SJUAN_132kV,25.6,1407.36,8.38,24.21,32.72
493-1,PATATV01,C.T. PATAGONIA,ccgt,SCN_500_132kV,40.0,1406.85,8.37,40.0,20.94
6675-1,CUMBFV01,P.S. La Cumbre,solar,LUJAN.SL_132kV_2,25.0,1397.11,8.32,24.16,33.26
8678-1,SAUJFV01,P.S. Saujil,solar,BRACHO_132kV_3,22.5,1329.82,7.92,22.32,35.18
7616-2,CARRHI02,CH CARRIZAL,hydro,GRAN MZA_132kV,8.5,1323.88,7.88,8.5,92.71
7615-1,CARRHI01,CH CARRIZAL,hydro,GRAN MZA_132kV,8.5,1323.88,7.88,8.5,92.71
476-1,HUEMDI01,HUEMUL SINOPEC,diesel,SCN_500_132kV,11.497,1285.37,7.65,11.5,66.55
2635-1,SOLATG01,SOLALBAN,ccgt,B.BLANCA_132kV_2,47.443,1274.21,7.58,44.98,15.99
1622-2,AVALTG22,ALTO VALLE,ccgt,P.BAND._132kV,24.746,1230.14,7.32,23.42,29.59
3665-5,NPUETV05,NUEVO PUERTO,steam,RODRGUEZ_220kV_2,103.6,1208.04,7.19,102.6,6.94
6609-1,CALEFV,P.S. C.A. LA CALERA S.L.,solar,LUJAN.SL_132kV_1,18.9449,1114.67,6.63,17.82,35.02
2699-1,CERITV01,ECOENERG CERRI,steam,B.BLANCA_132kV_1,9.154,1085.11,6.46,9.15,70.56
7653-3,LDCUTV15,LUJAN DE CUYO,ccgt,GRAN MZA_132kV,90.59,1061.85,6.32,88.47,6.98
2688-1,GRIOEO01,P.E. GARCIA DEL RIO,wind,B.BLANCA_132kV_1,10.0,1034.4,6.16,9.92,61.57
6652-1,PMORHI,PIEDRAS MORAS,hydro,ALMAFUE._132kV_1,6.6,1020.75,6.08,6.2,92.06
1638-1,SANDHI,SALTO ANDERSEN,hydro,PUELCHE1_132kV,7.9,1014.38,6.04,6.64,76.43
1638-2,SANDHI,SALTO ANDERSEN,hydro,PUELCHE1_132kV,7.9,1014.38,6.04,6.64,76.43
3681-2,PILBDI02,PILAR BSAS,diesel,RODRGUEZ_220kV_2,16.73,1011.85,6.02,16.73,36.0
3687-6,PILBDI06,PILAR BSAS,diesel,RODRGUEZ_220kV_2,16.73,994.24,5.92,16.73,35.37
3687-5,PILBDI05,PILAR BSAS,diesel,RODRGUEZ_220kV_2,16.73,975.73,5.81,16.73,34.72
609-2,CHN2EO01,P.E. CHUBUT NORTE II,wind,NPMADRYN_330kV,27.0,972.65,5.79,24.29,21.44
3602-2,COSTTV02,COSTANERA,steam,EZEIZA_220kV_1,84.7,971.2,5.78,82.8,6.83
2613-3,NECOTV03,NECOCHEA,steam,VIVORATA_132kV,61.62,932.49,5.55,56.0,9.01
3681-3,PILBDI03,PILAR BSAS,diesel,RODRGUEZ_220kV_2,16.73,932.17,5.55,16.73,33.17
3681-1,PILBDI01,PILAR BSAS,diesel,RODRGUEZ_220kV_2,16.73,926.61,5.52,16.73,32.97
2644-1,BBLMDI01,MOTOR. B.BLANCA,diesel,B.BLANCA_132kV_1,16.67,917.59,5.46,16.67,32.76
3687-4,PILBDI04,PILAR BSAS,diesel,RODRGUEZ_220kV_2,16.73,909.82,5.42,16.73,32.37
8608-1,CAIMDI01,CAIMANCITO,diesel,JUANCITO_132kV,18.2,873.52,5.2,18.2,28.57
8608-2,CAIMDI02,CAIMANCITO,diesel,JUANCITO_132kV,18.2,869.46,5.18,18.2,28.44
8632-2,CCORHI02,CABRA CORRAL,hydro,COBOS_345kV,32.0,853.33,5.08,30.0,15.87
8631-1,CCORHI01,CABRA CORRAL,hydro,COBOS_345kV,32.0,853.33,5.08,30.0,15.87
8633-3,CCORHI03,CABRA CORRAL,hydro,COBOS_345kV,32.0,853.33,5.08,30.0,15.87
8608-3,CAIMDI03,CAIMANCITO,diesel,JUANCITO_132kV,18.2,851.63,5.07,18.2,27.85
8641-1,ESCAHI01,ESCABA,hydro,BRACHO_132kV_3,5.6667,847.88,5.05,5.67,89.06
8642-2,ESCAHI02,ESCABA,hydro,BRACHO_132kV_3,5.6667,847.88,5.05,5.67,89.06
8643-3,ESCAHI03,ESCABA,hydro,BRACHO_132kV_3,5.6667,847.88,5.05,5.67,89.06
8680-1,RHONHI12,RIO HONDO,hydro,SANTIAGO_132kV,8.55,845.31,5.03,6.94,58.85
8680-2,RHONHI12,RIO HONDO,hydro,SANTIAGO_132kV,8.55,845.31,5.03,6.94,58.85
8616-3,INDETG03,INDEPENDENCIA,ocgt,BRACHO_132kV_3,48.0,841.6,5.01,47.2,10.44
8610-5,CAIMDI05,CAIMANCITO,diesel,JUANCITO_132kV,18.2,837.2,4.98,18.2,27.38
8610-4,CAIMDI04,CAIMANCITO,diesel,JUANCITO_132kV,18.2,837.1,4.98,18.2,27.38
2644-2,BBLMDI02,MOTOR. B.BLANCA,diesel,B.BLANCA_132kV_1,16.67,829.93,4.94,16.67,29.63
8901-1,LLANFV01,Parque de los Llanos (MATER),solar,RIOJASUR_132kV,20.0,826.09,4.92,13.8,24.59
8675-1,TINOFV,P.S. Tinogasta,solar,BRACHO_132kV_3,15.0,795.0,4.73,14.41,31.55
2644-3,BBLMDI03,MOTOR. B.BLANCA,diesel,B.BLANCA_132kV_1,16.67,794.29,4.73,15.5,28.36
8620-4,INDETG04,INDEPENDENCIA,ocgt,BRACHO_132kV_3,49.0,793.78,4.72,48.0,9.64
7619-1,ULL4FV01,P.S. Ullum 4,solar,NVA.SJUAN_132kV,13.5,788.74,4.69,12.91,34.78
3607-7,COSTTV07,COSTANERA,steam,ABASTO_220kV,222.5,788.5,4.69,133.4,2.11
2651-4,BBLMDI04,MOTOR. B.BLANCA,diesel,B.BLANCA_132kV_1,16.67,781.23,4.65,16.67,27.9
8625-24,LRIOTG24,LA RIOJA,ocgt,RIOJASUR_132kV,46.89,764.41,4.55,43.5,9.7
4614-1,CGOMDI01,CATADA DE GOMEZ,diesel,S.TOME_132kV_2,16.5,762.75,4.54,16.3,27.52
3603-3,COSTTV03,COSTANERA,steam,EZEIZA_220kV_1,81.184,757.27,4.51,72.2,5.55
8687-1,INDETG01,INDEPENDENCIA,ocgt,BRACHO_132kV_3,25.1,744.06,4.43,23.9,17.65
4616-3,CGOMDI03,CATADA DE GOMEZ,diesel,S.TOME_132kV_2,16.5,738.79,4.4,16.3,26.65
4614-2,CGOMDI02,CATADA DE GOMEZ,diesel,S.TOME_132kV_2,16.3,730.07,4.35,16.3,26.66
4616-4,CGOMDI04,CATADA DE GOMEZ,diesel,S.TOME_132kV_2,16.5,714.14,4.25,16.32,25.76
2651-6,BBLMDI06,MOTOR. B.BLANCA,diesel,B.BLANCA_132kV_1,16.67,687.54,4.09,16.67,24.55
2651-5,BBLMDI05,MOTOR. B.BLANCA,diesel,B.BLANCA_132kV_1,16.67,683.42,4.07,16.67,24.4
6619-1,CUM3FV,P.S. LA CUMBRE III,solar,LUJAN.SL_132kV_2,12.0,651.83,3.88,11.08,32.33
453-1,DIADEO01,DIADEMA EOLICO,wind,SCN_500_132kV,6.3,643.22,3.83,6.05,60.77
8681-1,PVIEHI01,PUEBLO VIEJO,hydro,BRACHO_132kV_3,7.5,628.75,3.74,5.05,49.9
8682-2,PVIEHI02,PUEBLO VIEJO,hydro,BRACHO_132kV_3,7.5,628.75,3.74,5.05,49.9
6603-3,CASSHI03,CASSAFOUSTH,hydro,ALMAFUE._132kV_1,5.4,599.92,3.57,3.74,66.13
6601-1,CASSHI01,CASSAFOUSTH,hydro,ALMAFUE._132kV_1,5.4,599.92,3.57,3.74,66.13
6602-2,CASSHI02,CASSAFOUSTH,hydro,ALMAFUE._132kV_1,5.4,599.92,3.57,3.74,66.13
8694-1,FIAMFV01,P.S. FIAMBALA,solar,BRACHO_132kV_3,11.0,595.11,3.54,10.68,32.2
8669-2,LMADHI02,LOS MADERAS,hydro,JUANCITO_132kV,15.0,588.25,3.5,6.67,23.34
8667-1,LMADHI01,LOS MADERAS,hydro,JUANCITO_132kV,15.0,588.25,3.5,6.67,23.34
6606-3,FSIMHI13,FITZ SIMON,hydro,ALMAFUE._132kV_1,3.5,588.0,3.5,3.5,100.0
6606-1,FSIMHI13,FITZ SIMON,hydro,ALMAFUE._132kV_1,3.5,588.0,3.5,3.5,100.0
6606-2,FSIMHI13,FITZ SIMON,hydro,ALMAFUE._132kV_1,3.5,588.0,3.5,3.5,100.0
2665-4,ZARATG04,C.T ZARATE,ocgt,RODRGUEZ_220kV_1,50.8,576.96,3.43,43.29,6.76
8666-1,TINZFV01,P.S.F.V TINOGASTA TOZZI,solar,BRACHO_132kV_3,11.9,550.47,3.28,9.79,27.53
4618-8,PERZDI08,PEREZ SECCO,diesel,HENDERS2_132kV,9.7,518.36,3.09,9.7,31.81
4618-7,PERZDI07,PEREZ SECCO,diesel,HENDERS2_132kV,9.8,517.72,3.08,9.8,31.45
4618-6,PERZDI06,PEREZ SECCO,diesel,HENDERS2_132kV,9.8,510.37,3.04,9.8,31.0
4617-4,PERZDI04,PEREZ SECCO,diesel,HENDERS2_132kV,9.8,509.37,3.03,9.8,30.94
4617-2,PERZDI02,PEREZ SECCO,diesel,HENDERS2_132kV,9.9,507.26,3.02,9.8,30.5
4618-5,PERZDI05,PEREZ SECCO,diesel,HENDERS2_132kV,9.8,501.17,2.98,9.8,30.44
4617-3,PERZDI03,PEREZ SECCO,diesel,HENDERS2_132kV,9.7,497.01,2.96,9.7,30.5
7631-1,LREYHB01,LOS REYUNOS,hydro,GRAN MZA_220kV,111.5,489.48,2.91,75.24,2.61
7696-1,COROHI01,CH LS CORONELES,hydro,GRAN MZA_132kV,3.6,480.47,2.86,2.99,79.44
7697-1,COROHI02,CH LS CORONELES,hydro,GRAN MZA_132kV,3.6,480.47,2.86,2.99,79.44
6662-2,REOLHI02,BENJAMIN REOLIN,hydro,ALMAFUE._132kV_1,11.0,472.07,2.81,8.03,25.54
6663-3,REOLHI03,BENJAMIN REOLIN,hydro,ALMAFUE._132kV_1,11.0,472.07,2.81,8.03,25.54
6661-1,REOLHI01,BENJAMIN REOLIN,hydro,ALMAFUE._132kV_1,11.0,472.07,2.81,8.03,25.54
7651-1,LDCUTV11,LUJAN DE CUYO,steam,GRAN MZA_132kV,35.0,444.87,2.65,34.47,7.57
5972-1,TIROTV01,C.T. BIOMASA UNITAN.  Puerto Tirol,biomass,RESISTEN_132kV_1,4.3593,433.91,2.58,3.49,59.25
2672-2,SNICTV12,SAN NICOLAS,steam,RAMALLO_220kV,47.9,415.95,2.48,30.45,5.17
6696-1,BROCFV01,P.S. CURA BROCHERO (MATER),solar,ALMAFUE._132kV_2,30.6,414.68,2.47,8.29,8.07
8635-2,TUNAHI02,EL TUNAL,hydro,COBOS_345kV,5.9,411.2,2.45,2.71,41.48
8634-1,TUNAHI01,EL TUNAL,hydro,COBOS_345kV,5.9,411.2,2.45,2.71,41.48
4617-1,PERZDI01,PEREZ SECCO,diesel,HENDERS2_132kV,9.7,403.86,2.4,9.7,24.78
6643-3,LMO1HI03,LOS MOLINOS,hydro,ALMAFUE._132kV_2,12.0,367.42,2.19,2.37,18.23
6642-2,LMO1HI02,LOS MOLINOS,hydro,ALMAFUE._132kV_2,12.0,367.42,2.19,2.37,18.23
6644-4,LMO1HI04,LOS MOLINOS,hydro,ALMAFUE._132kV_2,12.0,367.42,2.19,2.37,18.23
